,palavras,quantidade
0,gestão,107
1,energia,107
2,cliente,66
3,companhia,66
4,gri,56
5,negócio,52
6,meio,47
7,tietê,45
8,sustentabilidade,42
9,empresa,38
10,segurança,37
11,ano,36
12,risco,36
13,estratégia,35
14,projeto,35
15,ativo,35
16,operações,34
17,relatório,34
18,colaboradores,31
19,geração,30
20,modelo,29
21,processo,29
22,desenvolvimento,29
23,sistema,29
24,crescimento,27
25,área,27
26,energia elétrica,27
27,atividade,26
28,consumo,26
29,toda,25
30,operação,25
31,acordo,24
32,cada,23
33,todo,23
34,equipe,21
35,fontes renováveis,21
36,complexo eólico,21
37,mw,21
38,inovação,21
39,mercado,21
40,milhões,20
41,relação,20
42,ações,19
43,portfólio,19
44,serviço,19
45,trabalho,19
46,maior,19
47,índice,18
48,soluções,18
49,investimento,18
50,asseguração,17
51,desse,17
52,avaliação,17
53,atuação,17
54,pesquisa,17
55,programa,16
56,complexo solar,16
57,redução,16
58,estrutura,16
59,cultura,16
60,usina,16
61,desempenho,16
62,responsável,16
63,satisfação,15
64,alto sertão,15
65,novo,15
66,forma,15
67,demanda,15
68,oportunidade,15
69,fonte,15
70,efeito estufa,15
71,iniciativa,15
72,gases,14
73,pessoas,14
74,além disso,14
75,governança,14
76,capacidade,14
77,emissões,14
78,resultado,14
79,valor,14
80,parceria,14
81,desa,14
82,usinas hidrelétricas,14
83,além,14
84,treinamento,14
85,público,14
86,construção,13
87,mercado livre,13
88,unidade,13
89,sertão ii,13
90,partir,13
91,diretrizes,13
92,longo prazo,13
93,capacidade instalada,13
94,eólico alto,13
95,escopo,13
96,nova,12
97,contrato,12
98,ciência,12
99,nível,12
100,objetivo,12
101,aspecto,12
102,paulo,12
103,plano,12
104,quais,12
105,corporation,12
106,impacto,12
107,saúde,12
108,setor,12
109,comunidade,12
110,necessidade,11
111,reservatórios,11
112,outro,11
113,base,11
114,tecnologia,11
115,desde,11
116,sociedade,11
117,disponibilidade,11
118,relacionamento,11
119,compra,11
120,centro,10
121,conselho,10
122,sobre,10
123,plataforma,10
124,administração,10
125,último ano,10
126,ferramenta,10
127,conteúdo,10
128,engajamento,10
129,matriz energética,10
130,tema,10
131,relacionado,10
132,fornecedores,10
133,contratação,10
134,organização,10
135,mudanças climáticas,10
136,compromisso,10
137,atuamos,10
138,solares,10
139,agilidade,9
140,relevante,9
141,manutenção,9
142,dado,9
143,capacitação,9
144,evolução,9
145,abordagem,9
146,armazenamento,9
147,informações,9
148,ciente,9
149,metodologia,9
150,conformidade,9
151,veri cação,9
152,auditor líder,9
153,diversi cação,9
154,conjunto,9
155,pro ssionais,9
156,principais,9
157,solar guaimbê,9
158,formação,8
159,número,8
160,presença,8
161,limpa,8
162,acionista,8
163,aumento,8
164,valores,8
165,mil,8
166,especí co,8
167,importante,8
168,visão,8
169,ciclo,8
170,geração distribuída,8
171,liderança,8
172,gri standard,8
173,identi car,8
174,ética,8
175,líderes,8
176,muda,8
177,desenvolvimento sustentável,8
178,ﬁrelatório,8
179,realizado,8
180,monitoramento,8
181,custo,8
182,fator,8
183,saúde ocupacional,8
184,acidente,8
185,setor elétrico,8
186,ponta,8
187,município,8
188,proteção,8
189,diferentes,7
190,tema material,7
191,dia,7
192,lugar,7
193,gri gri,7
194,maneira,7
195,comercialização,7
196,sustentabilidade ﬂ,7
197,estufa gee,7
198,melhores práticas,7
199,apoio,7
200,dois,7
201,contratada,7
202,contexto,7
203,outra,7
204,período,7
205,política,7
206,contamos,7
207,ambientais,7
208,estado,7
209,categoria,7
210,realização,7
211,sgs,7
212,capital,7
213,ação,7
214,auditoria,7
215,inovações,7
216,iniciamos,7
217,corporativa,7
218,solar ouroeste,7
219,risco hidrológico,6
220,investidores,6
221,parceiro,6
222,con abilidade,6
223,complexos solares,6
224,grande,6
225,exemplo,6
226,eólico tucano,6
227,hidrelétrica,6
228,meio ambiente,6
229,acidentes fatais,6
230,distribuição,6
231,alcançamos,6
232,realizada,6
233,assim,6
234,atender,6
235,promoção,6
236,recursos incentivados,6
237,decisões,6
238,garantir,6
239,princípio,6
240,eólica solar,6
241,sustentável,6
242,cadeia,6
243,bahia,6
244,prestadores,6
245,novas tecnologias,6
246,ambiental,6
247,integridade,6
248,alinhamento,6
249,frequência,6
250,energia renovável,6
251,entrada,6
252,mudança,6
253,economia,6
254,otimização,6
255,relato,6
256,tópico material,6
257,direito,6
258,gri abordagem,6
259,declaração,6
260,promover,6
261,instalação,6
262,limite abordagem,6
263,soluções inovadoras,6
264,componentes avaliação,6
265,compliance,6
266,lei,6
267,indicadores,5
268,diretrizes setoriais,5
269,opção,5
270,comitê,5
271,mitigação,5
272,setoriais gri,5
273,investigação,5
274,prevenção,5
275,energética,5
276,meta,5
277,tipo,5
278,maiores,5
279,trabalhamos,5
280,cada ano,5
281,implementação,5
282,possibilidade,5
283,ambiente,5
284,órgão,5
285,corrupção,5
286,pacto global,5
287,planejamento,5
288,nacional,5
289,limite,5
290,partes interessadas,5
291,acesso,5
292,janeiro,5
293,nesse sentido,5
294,sustainability reporting,5
295,primeiro,5
296,caso,5
297,ano anterior,5
298,priorização,5
299,criação,5
300,própria,5
301,entrega,5
302,equipamentos,5
303,tomada,5
304,alocação,5
305,linha,5
306,controle,5
307,estratégia comercial,5
308,standards gri,5
309,ciência energética,5
310,ocorrência,5
311,comunidades vizinhas,5
312,dessa,5
313,emissão,5
314,plataforma integrada,5
315,parte,5
316,foco,5
317,positivo,5
318,aquisição,5
319,identi cação,5
320,utilização,5
321,cação externa,5
322,mitigar,5
323,signi cativos,5
324,primeira,5
325,serviços terceiros,5
326,distribuída gd,5
327,incentivo,5
328,ano consecutivo,5
329,green eld,5
330,estudante,5
331,desempenho econômico,5
332,melhores,5
333,busca,5
334,início,5
335,plantio,5
336,longo,5
337,conselho fiscal,5
338,abrange,5
339,sustentáveis,5
340,composto,5
341,uso,5
342,gestão ética,5
343,energia gerada,5
344,reduzir,5
345,informações sobre,5
346,certi cação,5
347,certi cado,5
348,exposição,5
349,pro ssional,5
350,requirements,5
351,ampliar,4
352,horas homem,4
353,produtos,4
354,homem trabalhadas,4
355,participação,4
356,fatais taxa,4
357,operacional,4
358,omissõespacto global,4
359,rastreabilidade,4
360,regulatório,4
361,ganhos,4
362,combate,4
363,interior,4
364,gerenciamento,4
365,estruturamos,4
366,per,4
367,condições,4
368,expansão,4
369,inventário,4
370,suporte,4
371,função,4
372,planeta,4
373,novos produtos,4
374,comunicação,4
375,entorno,4
376,educação,4
377,esforço,4
378,ocorre,4
379,oferecer,4
380,competência,4
381,clique aqui,4
382,funcionamento,4
383,excelência,4
384,independência,4
385,gri sustainability,4
386,placas solares,4
387,modernização,4
388,direcionada,4
389,conhecimento,4
390,criança,4
391,administrativo operacional,4
392,rede,4
393,recursos,4
394,inteligência energética,4
395,relações,4
396,garantia,4
397,protocolos,4
398,últimos anos,4
399,primeira fase,4
400,possui,4
401,decisão,4
402,diretoria gerênciacoordenação,4
403,ponto,4
404,nesse contexto,4
405,asseguração declaração,4
406,gerênciacoordenação administrativo,4
407,re orestamento,4
408,divulgaçãopágina omissõespacto,4
409,stakeholders,4
410,reconhecido,4
