,palavras,quantidade
0,cliente,253
1,risco,182
2,organização,169
3,funcionário,139
4,negócio,119
5,gestão,110
6,meio,104
7,todo,104
8,serviço,91
9,foco,87
10,produto,85
11,seguro,84
12,programa,84
13,investimento,78
14,conselho,77
15,mercado,76
16,processo,76
17,empresa,75
18,administração,75
19,crédito,74
20,política,65
21,ações,64
22,sustentabilidade,64
23,comitê,63
24,resultado,62
25,ano,62
26,inovação,62
27,objetivo,61
28,operações,60
29,projeto,59
30,atendimento,57
31,área,57
32,tema,56
33,além,54
34,trabalho,52
35,gerenciamento,51
36,atividade,50
37,desenvolvimento,50
38,outro,50
39,milhões,50
40,toda,48
41,estratégia,47
42,forma,46
43,segurança,46
44,saúde,46
45,conta,44
46,prática,42
47,sobre,42
48,governança,42
49,índice,41
50,tecnologia,40
51,apoio,40
52,outra,40
53,sociedade,40
54,carteira,39
55,agência,39
56,soluções,38
57,oportunidade,37
58,vida,37
59,plano,37
60,limite,37
61,estrutura,37
62,iniciativa,36
63,gri,36
64,compromisso,35
65,relacionamento,35
66,rede,35
67,ainda,34
68,saiba,34
69,est rat,33
70,rat ég,33
71,ég ico,33
72,diretrizes,33
73,posicionamento est,33
74,gerar,33
75,análise,33
76,norma,32
77,partir,32
78,avaliação,32
79,capital,32
80,pessoa,32
81,dia,31
82,mudanças climáticas,31
83,acordo,31
84,sistema,31
85,atuação,30
86,modelo,29
87,gestão material,28
88,mil,28
89,fornecedores,28
90,direitos humanos,27
91,impacto,27
92,dado,27
93,gri abordagem,27
94,ativo,27
95,membro,27
96,princípio,27
97,qualidade,27
98,consumo,27
99,gerar valo,26
100,base,26
101,oferta,26
102,controle,25
103,departamento,25
104,valor,25
105,bilhões,25
106,diversidade,24
107,destaque,24
108,desempenho,24
109,parceria,24
110,cada,24
111,relação,24
112,novo,23
113,relatório,23
114,integridade,23
115,redução,22
116,principais,22
117,benefício,22
118,número,22
119,conduta ética,22
120,site,22
121,caso,22
122,mudança,21
123,valores,21
124,unibrad,21
125,plataforma,21
126,meta,21
127,investidores,21
128,maior,21
129,next,21
130,crescimento,21
131,social,21
132,período,21
133,garantir,21
134,clima,21
135,desenvolvimento sustentável,20
136,público,20
137,geração,20
138,portfólio,20
139,país,20
140,canais,20
141,acionista,20
142,alor,20
143,inclusão,19
144,realizada,19
145,viva bem,19
146,linha,19
147,momento,19
148,lucro líquido,19
149,fundação,18
150,energia,18
151,parte,18
152,br,18
153,acesso,18
154,código,18
155,compliance,18
156,prestação,17
157,respeito,17
158,unidade,17
159,setores,17
160,evento,17
161,bem estar,17
162,central,17
163,canais digitais,17
164,ambiente,17
165,seguros previdência,17
166,realização,17
167,necessidade,17
168,matriz,17
169,emissões,17
170,ética,17
171,riscos socioambientais,17
172,usuário,16
173,longo prazo,16
174,conjunto,16
175,responsabilidade,16
176,oferecemos,16
177,recursos,16
178,efeito estufa,16
179,fundo,16
180,segmento,16
181,longo,16
182,risco socioambiental,16
183,realizamos,16
184,carbono,16
185,bem,16
186,exemplo,16
187,contribuir,16
188,gases,16
189,deu,16
190,pessoa física,15
191,compra,15
192,aumento,15
193,relações,15
194,máquinas,15
195,pagamento,15
196,órgão,15
197,pesquisa,15
198,relevância,15
199,prevenção,15
200,busca,15
201,cidade,15
202,potencial,15
203,lei,15
204,diretor presidente,15
205,cenário,15
206,componentes gri,15
207,futuro,15
208,melhor,15
209,socioambientais,15
210,comitê executivo,14
211,pessoas físicas,14
212,decisão,14
213,distribuição,14
214,informação,14
215,cultura,14
216,segurado,14
217,maneira,14
218,incluindo,14
219,diversos,14
220,startup,14
221,capitais,14
222,fn ac,14
223,capitalização,14
224,oferece,14
225,informações,14
226,engajamento,14
227,relacionado,14
228,cadeia,14
229,decorrente,14
230,frente,14
231,setor,14
232,capacidade,14
233,uso,14
234,agenda,14
235,responsável,13
236,presente,13
237,tomada,13
238,direito,13
239,construção,13
240,considera,13
241,receita,13
242,carreira,13
243,remuneração,13
244,grande,13
245,escopo,13
246,internet banking,13
247,diferente,13
248,cada vez,13
249,parceiros,13
250,equipe,13
251,contamos,13
