,palavras,quantidade
0,ł,153
1,risco,76
2,negócio,59
3,integrante,58
4,processo,56
5,ano,56
6,conformidade,55
7,valor,48
8,cliente,47
9,produto,46
10,ações,46
11,pessoas,46
12,global,46
13,produção,43
14,empresa,42
15,geração,42
16,meio,41
17,plástico,41
18,programa,41
19,desenvolvimento,40
20,companhia,39
21,pp,39
22,estados unidos,37
23,mercado,36
24,todo,36
25,toda,34
26,planta,31
27,área,31
28,conselho,30
29,operações,30
30,fornecedores,30
31,gestão,30
32,investimento,30
33,administração,29
34,acordo,29
35,química,29
36,projeto,28
37,estratégia,28
38,relação,27
39,matéria prima,27
40,capital,26
41,sistema,26
42,assim,25
43,segurança,25
44,resultado,25
45,objetivo,25
46,redução,25
47,energia,24
48,nova,24
49,implementação,24
50,inovação,23
51,apoio,23
52,sobre,23
53,terceiro,23
54,outro,23
55,governança,23
56,partes interessadas,23
57,mil toneladas,23
58,recurso,22
59,consumo,22
60,impacto,22
61,função,21
62,milhões,21
63,desde,21
64,iniciativa,21
65,comitê,21
66,us milhões,21
67,méxico,21
68,base,21
69,pe,21
70,forma,20
71,principais,20
72,futuro,20
73,avaliação,20
74,parceria,20
75,além,20
76,linha,20
77,vida,19
78,diversificação,19
79,œ,19
80,ética,19
81,preço,19
82,crescimento,19
83,parte,18
84,compromisso,18
85,água,18
86,capitais,18
87,alagoas,18
88,comunidade,18
89,economia circular,18
90,caixa,18
91,capacidade,18
92,partir,17
93,tecnologia,17
94,construção,17
95,início,17
96,novo,17
97,atuação,17
98,sustentável,17
99,ii,17
100,operação,17
101,plano,17
102,acionistas,17
103,financeira,16
104,política,16
105,mudança,16
106,custo,16
107,bilhões,16
108,eteno,16
109,us milhões2019,16
110,br,16
111,us,16
112,mundo,16
113,trabalho,16
114,código,16
115,emissões,16
116,desta,16
117,financeiro,16
118,prática,15
119,indústria,15
120,desempenho,15
121,atividade,15
122,liderança,15
123,principalmente,15
124,foco,15
125,crédito,15
126,conduta,15
127,ri,14
128,melhoria,14
129,propeno,14
130,compra,14
131,informações,14
132,sendo,14
133,tendência,14
134,diversa,14
135,sociedade,14
136,pesquisa,14
137,valores,14
138,através,14
139,independente,14
140,próprio,14
141,resíduo,13
142,agência,13
143,labs,13
144,meio ambiente,13
145,geral,13
146,cenário,13
147,tais,13
148,deste,13
149,menor,13
150,cadeia,13
151,equipe,13
152,oportunidade,13
153,relatorios anuais,13
154,economia,13
155,ainda,13
156,social,13
157,plataforma,12
158,busca,12
159,diversidade,12
160,aproximadamente,12
161,humano,12
162,direito,12
163,integridade,12
164,venda,12
165,possuímos,12
166,fonte,12
167,cada vez,12
168,competitividade,11
169,etano,11
170,pvc,11
171,quais,11
172,demanda,11
173,perda,11
174,maior,11
175,iii,11
176,químico,11
177,américa,11
178,canal,11
179,estado,11
180,medidas,11
181,produtividade,11
182,número,11
183,ca,11
184,melhorar,11
185,ambiente,11
186,relacionamento,11
187,taxa,11
188,uso,11
189,ativo,11
190,monitoria,11
191,relações,11
192,necessidade,11
193,sal,11
194,ministério público,11
195,grande,10
196,diverso,10
197,controle,10
198,nova planta,10
199,desafios,10
200,maceió,10
201,países,10
202,polietileno,10
203,estratégicos,10
204,unidade,10
205,pagamento,10
206,interno,10
207,desenvolvimento sustentável,10
208,renováveis,10
209,soluções,10
210,análise,10
211,manutenção,10
212,nafta,10
213,relatório anual,10
214,contrato,10
215,aumento,10
216,sustentáveis,10
217,após,10
218,quantidade,10
219,reciclagem,10
220,termo,10
221,resina,10
222,junto,10
223,soluções sustentáveis,9
224,queda,9
225,permite,9
226,pib,9
227,serviço,9
228,apenas,9
229,propósito,9
230,potencial,9
231,transformação,9
232,longo prazo,9
233,escala,9
234,matérias primas,9
235,transparente,9
236,demais,9
237,capacidade anual,9
238,comprometido,9
239,dívida,9
240,petroquímica,9
241,transformar,9
242,longo,9
243,pandemia,9
244,referente,9
245,ri relatorios,9
246,melhor,9
247,governamentais,9
248,outras,9
249,conjunto,9
250,ferramenta,9
251,transformado,9
252,cultura,9
253,pilares,9
254,mundial,8
255,região,8
256,considerando,8
257,podem,8
258,relatório,8
259,startups,8
260,https,8
261,expectativa,8
262,qualidade,8
263,vez,8
264,alto,8
265,cada,8
266,saúde,8
267,conta,8
268,relacionada,8
269,acreditamos,8
270,matriz,8
271,centro,8
272,dentre,8
273,frente,8
274,transparência,8
275,setor petroquímico,8
276,megatendências,8
277,escritório,8
278,petroquímico,8
279,indicadores,8
280,sustentabilidade,8
281,mil,8
282,avanço,8
283,extração,8
284,quanto,8
285,criar,8
286,bem,8
287,três,8
288,cloro soda,8
289,exercício,8
290,investido,8
291,responsabilidade,8
292,criação,8
293,causa,8
294,atuamos,8
295,hoje,8
296,lei,8
297,competitiva,8
298,acidentes,8
299,fortalecer,8
300,aprovação,8
301,ambição,8
302,comprometimento,8
303,respeito,7
304,garantir,7
305,trabalhamos,7
306,financiamento,7
307,autoridade,7
308,produtos químicos,7
309,baseada,7
310,participação,7
311,união,7
312,mulheres,7
313,gases,7
314,monitoramento,7
315,interna,7
316,probabilidade,7
317,órgãos,7
318,relacionados,7
319,inclusão,7
320,dado,7
321,china,7
322,distribuição,7
323,indústria petroquímica,7
324,além disso,7
325,período,7
326,sustentabilidade https,7
327,membros,7
328,combustível,7
329,reconhecimento,7
330,exemplo,7
331,setor,7
332,portfólio,7
333,intensidade,7
334,ciclo,7
335,centro digital,7
336,conhecimento,7
337,tratamento,7
338,menos,7
339,co,7
340,atendimento,7
341,acessar,7
342,ideia,7
343,âmbito,7
344,realizado,7
345,público federal,7
346,europa,7
347,operacional,7
348,toneladas,7
349,fornecimento,7
350,remuneração,7
351,ação,7
352,conforme,7
353,importante,7
354,buscando,7
355,tempo,7
356,caminho,7
357,fatores,7
358,jeito,7
359,cerca,7
360,econômico,7
361,rating,7
362,externo,7
363,responsável,7
364,natural,7
365,final,7
366,reduzir,6
367,realizamos,6
368,gasto,6
369,disponíveis,6
370,certificado,6
371,mpf,6
372,pna,6
373,exportação,6
374,maio,6
375,carbono,6
376,bahia,6
377,entrega,6
378,acesso,6
379,condições,6
380,empreendedorismo,6
381,resposta,6
382,verde,6
383,reputação,6
384,decorrente,6
385,compensação,6
386,princípios,6
387,médio,6
388,desocupação,6
389,energia renovável,6
390,eficiente,6
391,comunicação,6
392,mitigação,6
393,anual,6
394,líder,6
395,unidades industriais,6
396,alemanha,6
397,buscamos,6
398,governo,6
399,central petroquímica,6
400,normas,6
401,diversificação geográfica,6
402,reciclado,6
403,maneira,6
404,potenciais,6
405,neste sentido,6
406,benefício,6
407,onde,6
408,cloro,6
409,perfil,6
410,dividendo,6
411,oferta,6
412,mínimo,6
413,recomendações,6
414,idesa,6
415,mudança climática,6
416,brasileiro,6
417,perda possível,6
418,higidez financeira,6
419,desenvolver,6
420,estratégica,6
421,deve,6
422,manufaturado,6
423,meta,6
424,posição,6
425,curto prazo,6
426,tema,6
427,perda provável,6
428,baixa,6
429,neste,6
430,regiões,6
431,polipropileno,6
432,contexto,6
433,embalagens,6
434,referência,6
435,diretor presidente,6
436,equipamento,6
437,ampliar,6
438,visa,6
439,organização,6
440,auditoria interna,6
441,significativa,6
442,escopo,6
443,contexto externo,6
444,evolução,6
445,classificação,6
446,trata,6
447,modelo,6
448,spread,6
449,janeiro,6
450,cco,6
451,qualquer,6
452,decisões,6
453,entorno,6
454,globais,6
455,comportamento ético,5
456,solução,5
457,esforços,5
458,conselho fiscal,5
459,constante,5
460,leniência,5
461,considerado,5
462,positivo,5
463,combinação,5
464,cdp,5
465,conduzir,5
466,marca,5
467,intelectual,5
468,integrada,5
469,aplicações,5
470,transformação digital,5
471,infraestrutura,5
472,monitoria externa,5
473,supply chain,5
474,adotamos,5
475,confiança,5
476,interesses,5
477,responsáveis,5
478,proteção,5
479,fase,5
480,aquisição,5
481,anuais,5
482,detalhe,5
483,seguinte,5
484,capex,5
485,fazendo,5
486,cgu,5
487,flexibilidade,5
488,agu,5
489,baseado,5
490,pedidos,5
491,experiência,5
492,politica,5
493,convicção,5
494,iv,5
495,tornam,5
496,definição,5
497,efeito estufa,5
498,líquida,5
499,estrutura,5
500,membros independentes,5
501,promover,5
502,sul,5
503,pós consumo,5
504,empréstimos,5
505,internacional,5
506,reciclagem química,5
507,competência,5
508,benzeno,5
509,butadieno,5
510,aumentar,5
511,etanol,5
512,investidores,5
513,possam,5
514,gás,5
515,acompanhamento,5
516,covid,5
517,contínua,5
518,conselheiro,5
519,eficiência,5
520,pe verde,5
521,condução,5
522,programada,5
523,ocorrência,5
524,mesma,5
525,recuperação,5
526,diferente,5
527,centrais petroquímicas,5
528,assegurar,5
