,palavras,quantidade
0,gri,65
1,segurança,27
2,mercado,19
3,negócio,18
4,gestão,16
5,produto,16
6,alimentos,15
7,divulgação página,15
8,página url,15
9,standard divulgação,15
10,gri standard,15
11,url omissão,15
12,operações continuadas,13
13,empregados,13
14,materiais gri,11
15,æï æï,11
16,tópicos materiais,11
17,integridade,11
18,companhia,11
19,milhões,11
20,saúde,11
21,resultado,11
22,qualidade,10
23,vice presidente,10
24,política,10
25,inovação,9
26,membro independente,9
27,bem estar,9
28,compromisso,9
29,estratégia,9
30,fornecedores,8
31,foco,8
32,todo,8
33,milhões operações,8
34,cadeia,8
35,tipo,8
36,impacto,7
37,redução,7
38,gj œ,7
39,projeto,7
40,empresa,7
41,liderança,7
42,œ toneladas,7
43,consumo,7
44,risco,7
45,cadeia produtiva,7
46,modelo,7
47,uso,7
48,ebitda ajustado,7
49,diretor vice,7
50,œ percentual,7
51,œ gigajoule,6
52,time,6
53,organização,6
54,prática,6
55,market share,6
56,ano,6
57,sistema,6
58,emissões,6
59,categoria,6
60,cliente,6
61,estar animal,6
62,geração,6
63,anosacima,6
64,colaboradores treinados,6
65,nºtaxa nºtaxa,6
66,parceiros,6
67,categoria funcional,6
68,anosentre,6
69,comunidade,5
70,crescimento,5
71,dia,5
72,logística,5
73,região taxas,5
74,países,5
75,venda,5
76,faixa etária,5
77,201720182019nºtaxa nºtaxa,5
78,transparência,5
79,toda,5
80,nºtaxa empregados,5
81,processo,5
82,reputação,5
83,frango,5
84,essência,5
85,cultura,5
86,produtores integrados,5
87,conformidade,5
88,lucro bruto,5
89,fonte,5
90,mil colaboradores,5
91,volume,5
92,neste capítulo,5
93,consumidores,5
94,gênero gri,4
95,região região,4
96,financeiro,4
97,índice,4
98,órgãos,4
99,desempenho,4
100,operacional líquida,4
101,receita operacional,4
102,consistência,4
103,gênero œ,4
104,anosabaixo,4
105,energia consumida,4
106,consumidor,4
107,desenvolvimento sustentável,4
108,meio ambiente,4
109,share œ,4
110,capital,4
111,ética,4
112,criação,4
113,resíduos,4
114,garantir,4
115,governança,4
116,conhecimento,4
117,qr code,4
118,água,4
119,treinamento,4
120,toneladas gri,4
121,investimento,4
122,sociais,4
123,divulgações gerais,4
124,distribuição,4
125,mil,4
126,gerais gri,4
127,renováveis gj,4
128,global,4
129,energia,4
130,meta,4
131,acesso,4
132,compras,4
133,número,4
134,acordo,3
135,agenda,3
136,outros,3
137,fontes renováveis,3
138,comitês,3
139,lei,3
140,gri 2categoria,3
141,co equivalente,3
142,salto,3
143,normas,3
144,busca,3
145,presente,3
146,parceria,3
147,aumento,3
148,recursos hídricos,3
149,oportunidades desenvolvimento,3
150,governança gestão,3
151,empregados contratados,3
152,cargas,3
153,excelência operacional,3
154,planejamento,3
155,estratégico,3
156,deixaram,3
157,compliance,3
158,emprego,3
159,tco2e œ,3
160,regulamentos,3
161,relação,3
162,longo prazo,3
163,marcas fortes,3
164,escopo tco2e,3
165,posicionamento,3
166,trabalhamos,3
167,homensmulheres homensmulheres,3
168,tecnologia,3
169,turquia,3
170,benefícios,3
171,ações,3
172,protagonismo,3
173,mundo,3
174,indivíduos dentro,3
175,ambiental,3
176,conteúdo,3
177,novo,3
178,excelência,3
179,diversidade,3
180,manual,3
181,indústria,3
182,fábrica,3
183,processados,3
184,taxas taxas,3
185,ambiente œ,3
186,sumário,3
187,alocação,3
188,treinados,3
189,nível,3
190,relato,3
191,meio,3
192,oportunidades,3
193,presença,3
194,unidades,3
195,kwh tonelada,2
196,mercado muçulmano,2
197,stakeholders,2
198,tema,2
199,trabalhar,2
200,minimizar,2
201,líquida,2
202,construção,2
203,operacionais,2
204,investimos,2
205,investimento social,2
206,tonelada produzida,2
207,proteína,2
208,matéria prima,2
209,quadro funcional,2
210,radar,2
211,rotulagem,2
212,porcentagem,2
213,colaboradores,2
214,agro,2
215,operações,2
216,atuação,2
217,œ escopo,2
218,atingir,2
219,utilização,2
220,sadia marca,2
221,preferência,2
222,ferramentas,2
223,cúbicos gri,2
224,direto,2
225,metros cúbicos,2
226,œ metros,2
227,frente,2
228,custo,2
229,recursos naturais,2
230,eólica,2
231,solar,2
232,energia água,2
233,m³ œ,2
234,ingredients,2
235,além,2
236,horas,2
237,visão,2
238,serviço,2
239,turnover,2
240,contrato,2
241,mercados internacionais,2
242,gri fp5,2
243,certificações internacionais,2
244,unidades produtoras,2
245,recursos humanos,2
246,ods,2
247,margem bruta,2
248,combustíveis,2
249,relatório integrado,2
250,mercado internacional,2
251,números essência,2
252,cultura governança,2
253,liderança ética,2
254,capital riscos,2
255,gri anexos,2
256,anexos carta,2
257,asseguração créditos,2
258,skus itens,2
259,novos skus,2
260,comércio global,2
261,transformação digital,2
262,sustentabilidade empresarial,2
263,empresarial ise,2
264,marca líder,2
265,marcas preferidas,2
266,bruto aumento,2
267,segmento internacional,2
268,operação global,2
269,medicamentos,2
270,região,2
271,incluindo,2
272,programa,2
273,gigajoule energia,2
274,energia elétrica,2
275,elétrica consumida,2
276,gri fp1,2
277,dentro,2
278,avaliação,2
279,antibióticos,2
280,espécie,2
281,reduzir,2
282,carteira,2
283,prejuízo líquido,2
284,continuadas valor,2
285,valor econômico,2
286,indústria global,2
287,reúso,2
288,impacto social,2
289,embalagens,2
290,diversas categorias,2
291,food service,2
292,bilhõesde receita,2
293,sustentabilidade,2
294,impacto positivo,2
295,objetivo,2
296,faz parte,2
297,princípios,2
298,favor,2
299,implementação,2
300,sociedade,2
301,diretrizes,2
302,etária œ,2
303,homensmulheres empregados,2
304,percentual 201720182019homensmulheres,2
305,omissão ods,2
306,pessoas,2
307,alimentação,2
308,melhor,2
309,2categoria funcionalempregados,2
310,pcdsmulheres pcdshomens,2
311,atividades,2
312,temas anticorrupção,2
313,monitorada,2
314,critérios,2
315,anticorrupção,2
316,etária 201720182019nºtaxa,2
317,gênero 201720182019nºtaxa,2
318,independente roberto,2
319,taxa contratados,2
320,contratados taxa,2
321,futuro,2
322,multiculturalidade,2
323,matrizes,2
324,estrutura,2
325,omissão odsconformidade,2
326,eficiente,2
327,trabalho,2
328,curto prazo,2
329,ganhou,2
330,perenidade,2
331,percentual 201720182019abaixo,2
332,omissão odsgovernança,2
333,alta liderança,2
334,fortalecer,2
335,implantação,2
336,paternidade gri,2
337,exceto empregados,2
