,palavras,quantidade
0,gestão,79
1,companhia,60
2,ł,58
3,colaboradores,56
4,gri,54
5,risco,50
6,processo,43
7,negócio,41
8,forma,38
9,área,37
10,rodovia,37
11,unidade,36
12,conselho,36
13,meio,35
14,serviço,35
15,segurança,34
16,todo,34
17,política,34
18,sobre,32
19,público,32
20,operações,31
21,aeroporto,31
22,projeto,31
23,sistema,29
24,empresa,29
25,ano,28
26,investimento,28
27,acidente,27
28,desenvolvimento,27
29,administração,26
30,concessões,26
31,redução,25
32,programa,25
33,œ,25
34,consumo,24
35,novo,24
36,número,24
37,melhoria,24
38,qualidade,23
39,governança,23
40,ativo,23
41,modelo,23
42,taxa,23
43,cada,22
44,iniciativa,22
45,valor,22
46,estrutura,21
47,mobilidade,21
48,oportunidade,20
49,período,20
50,bh airport,20
51,y,20
52,tipo,20
53,atuação,20
54,treinamento,20
55,compliance,19
56,outro,19
57,cliente,19
58,impacto,19
59,avaliação,19
60,atividade,19
61,pessoa,18
62,tema,18
63,ações,18
64,geração,17
65,desse,17
66,partir,17
67,mil,17
68,nova,17
69,escopo,16
70,acordo,16
71,instituto,16
72,energia,16
73,monitoramento,16
74,diretrizes,16
75,corporativa,16
76,plano,16
77,stakeholders,16
78,infraestrutura,15
79,capital,15
80,governança corporativa,15
81,paulo,15
82,água,15
83,resultado,15
84,mercado,15
85,toda,15
86,estratégia,15
87,principais,15
88,remuneração,15
89,dessa,15
90,trabalho,14
91,crescimento,14
92,milhões,14
93,desempenho,14
94,saúde,13
95,princípio,13
96,social,13
97,abordagem,13
98,além,13
99,concessionária,13
100,engajamento,13
101,econômico,13
102,tecnologia,13
103,horas trabalhadas,13
104,manutenção,13
105,órgão,12
106,cultura,12
107,fornecedores,12
108,outra,12
109,apenas,12
110,veículos,12
111,combustíveis,12
112,longo,12
113,operação,12
114,maior,12
115,objetivo,12
116,terceiro,12
117,conformidade,12
118,capacidade,12
119,interna,12
120,análise,11
121,parte,11
122,ética,11
123,busca,11
124,metas,11
125,mudança,11
126,concessão,11
127,apoio,11
128,bilhões,11
129,índice,11
130,aumento,11
131,normas,11
132,emissões,11
133,resíduos,11
134,linha,11
135,relatório,11
136,prática,11
137,relacionado,11
138,lei,11
139,mobilidade urbana,11
140,comunicação,11
141,controles internos,11
142,relação,11
143,aeronaves,11
144,revisão,11
145,níveis,11
146,acionista,11
147,relacionamento,11
148,base,10
149,participação,10
150,energia elétrica,10
151,sustentabilidade,10
152,procedimentos,10
153,interno,10
154,cores pantone,10
155,pantone cool,10
156,passageiros,10
157,prestação,10
158,informações,10
159,sociedade,10
160,cool gray,10
161,viamobilidade,10
162,comunidade,10
163,obras,10
164,educação,10
165,estado,10
166,avaliações,10
167,construção,10
168,conduta,10
169,cats registradas,10
170,entidade,9
171,respeito,9
172,matriz,9
173,centro,9
174,materialidade,9
175,efeito estufa,9
176,gases,9
177,visão,9
178,ambientais,9
179,auditoria,9
180,plataforma,9
181,considera todos,9
182,dias perdidos,9
183,modais,9
184,trabalhadas considera,9
185,mecanismo,9
186,ainda,9
187,acidentes trajeto,9
188,diferentes,9
189,melhores práticas,9
190,divulgação,9
191,ambiental,9
192,conjunto,9
193,gri ł,8
194,doenças ocupacionais,8
195,pouso,8
196,tópico material,8
197,dia,8
198,absenteísmo,8
199,g4,8
200,corporativo,8
201,aspectos,8
202,melhor,8
203,tópico,8
204,positivo,8
205,auditoria interna,8
206,demais,8
207,assim,8
208,relacionada,8
209,novo modelo,8
210,longo prazo,8
211,diretoria,8
212,via,8
213,regiões,8
214,vez,8
215,rede,8
216,relevante,8
217,garantir,8
218,valores,8
219,ação,8
220,satisfação,8
221,pública,8
222,governo,8
223,actua,8
224,mundo,8
225,usuários,8
226,maneira,8
227,caminho,8
228,metrô,8
229,recurso,8
230,sociais,8
231,tomada,8
232,principalmente,8
233,medida,8
234,receita,8
235,controle,8
236,operacionais,8
237,lesões,7
238,viasul,7
239,combate,7
240,portfólio,7
241,diversos,7
242,respectivo,7
243,horas,7
244,atua,7
245,limite103 abordagem,7
246,pista,7
247,membros,7
248,realizada,7
249,metodologia,7
250,direitos,7
251,equipamentos,7
252,poder concedente,7
253,bilhão,7
254,campanhas,7
255,liderança,7
256,2016gri,7
257,realizado,7
258,dados,7
259,explicação,7
260,interação,7
261,novadutra,7
262,transporte,7
263,inovação,7
264,componentes103 avaliação,7
265,quais,7
266,indicadores,7
267,importante,7
268,nível,7
269,operacional,7
270,propósito,7
271,responsabilidade,6
272,reduzir,6
273,material,6
274,conforto,6
275,externa,6
276,regulamento,6
277,ambiente,6
278,liberdade,6
279,contribui,6
280,trecho,6
281,contínuo,6
282,assinatura secundária,6
283,considerada,6
284,conteúdo,6
285,elaborado,6
286,motoristas,6
287,conhecimento,6
288,incentivo,6
289,duas,6
290,equipe,6
291,registro,6
292,relato,6
293,instalação,6
294,reputação,6
295,independente,6
296,consultoria,6
297,interesse,6
298,executivo,6
299,critérios,6
300,último,6
301,município,6
302,execução,6
303,adotada,6
304,pacto,6
305,premissa,6
306,conforme,6
307,anual,6
308,transparente,6
309,registrado,6
310,atualização,6
311,violação,6
312,apresentado,6
313,sob,6
314,podem,6
315,vialagos,6
316,estufa gee,6
317,rodonorte,6
318,continuamente,6
319,conscientização,6
320,mil metros,6
321,talentos,5
322,consolidada,5
323,trabalho cats,5
324,canais,5
325,bem estar,5
326,permitindo,5
327,federal,5
328,página,5
329,reconhecimento,5
330,pesquisa,5
331,lesões exceto,5
332,prevenção,5
333,típico inclusive,5
334,comunicações decorrentes,5
335,inclusive comunicações,5
336,parceria,5
337,lesões número,5
338,realizamos,5
339,associaçãoerradicação,5
340,descarte,5
341,agentes,5
342,cumprimento,5
343,aeris,5
344,proposta,5
345,riscos corporativos,5
346,constante,5
347,alinhada,5
348,vítimas fatais,5
349,ciclo,5
350,competitividade,5
351,remuneração variável,5
352,decisões,5
353,tecnologias ambientalmente,5
354,desenvolvimento sustentável,5
