,palavras,quantidade
0,gestão,341
1,companhia,285
2,energia,241
3,risco,218
4,empresa,211
5,processo,203
6,empregado,165
7,meio,164
8,fornecedores,161
9,segurança,148
10,área,140
11,trabalho,137
12,relação,133
13,cliente,132
14,programa,125
15,serviço,123
16,ano,121
17,milhões,119
18,atividade,115
19,todo,114
20,redução,109
21,distribuição,108
22,energia elétrica,106
23,resultado,101
24,projeto,100
25,qualidade,98
26,ações,98
27,objetivo,98
28,forma,95
29,valor,95
30,sistema,91
31,sobre,90
32,atendimento,90
33,conselho,90
34,água,89
35,geração,86
36,administração,86
37,mercado,85
38,negócio,84
39,dado,84
40,plano,82
41,além,81
42,emissões,81
43,toda,80
44,meta,80
45,acidente,79
46,contrato,79
47,número,78
48,investimento,75
49,monitoramento,74
50,sendo,74
51,rede,74
52,consumo,71
53,tema,70
54,desenvolvimento,68
55,partes interessadas,68
56,aumento,67
57,realizada,66
58,análise,66
59,relacionamento,66
60,política,65
61,minas gerais,65
62,informações,65
63,consumidores,63
64,saúde,63
65,estratégia,63
66,realizado,62
67,operação,62
68,sustentabilidade,61
69,setor elétrico,61
70,pesquisa,59
71,comitê,59
72,impacto,59
73,œ,58
74,treinamento,57
75,desempenho,56
76,quadro,56
77,aneel,53
78,indicadores,53
79,transmissão,53
80,possui,53
81,bem,53
82,concessão,53
83,prática,52
84,manutenção,52
85,caso,50
86,melhoria,50
87,custo,50
88,receita,50
89,recurso,50
90,relatório,50
91,participação,49
92,controle,49
93,índice,48
94,iniciativa,48
95,comunicação,48
96,governança,47
97,operações,46
98,atuação,46
99,base,45
100,conformidade,45
101,usina,45
102,ainda,45
103,avaliação,44
104,resíduo,44
105,oportunidade,43
106,remuneração,43
107,partir,43
108,pessoa,43
109,procedimento,43
110,outro,42
111,cada,42
112,período,42
113,gt,42
114,organização,42
115,direitos humanos,42
116,empreendimento,42
117,mudança,42
118,comunidade,42
119,auditoria,41
120,metodologia,41
121,tarifa,40
122,realização,40
123,desde,39
124,escopo,38
125,maior,38
126,satisfação,38
127,acordo,38
128,estudo,38
129,média,38
130,membro,36
131,instalações,36
132,cumprimento,36
133,uso,36
134,responsável,35
135,seguinte,35
136,canais,35
137,longo,34
138,desse,34
139,ativo,34
140,interesse,34
141,social,34
142,apresentado,34
143,perda,34
144,linha,34
145,modelo,34
146,força,34
147,ambientais,34
148,exercício,33
149,estado,33
150,meio ambiente,33
151,seguir,33
152,cadeia,33
153,final,33
154,relevante,33
155,taxa,33
156,ii,33
157,direito,32
158,parte,32
159,sociedade,32
160,ocorrência,31
161,fornecimento,31
162,novo,31
163,diretrizes,31
164,população,31
165,produto,30
166,relacionado,30
167,fonte,30
168,medida,30
169,benefício,30
170,principais,30
171,tratamento,30
172,implantação,29
173,lei,29
174,inovação,29
175,contratação,29
176,reservatório,29
177,disponível,29
178,acompanhamento,28
179,identificação,28
180,biodiversidade,28
181,categoria,28
182,foco,28
183,diversidade,28
184,dessa,28
185,sistema elétrico,28
186,conta,28
187,elaboração,28
188,parceria,28
189,limite,28
190,quanto,28
191,prazo,28
192,proposta,28
193,reduzir,27
194,compromisso,27
195,requisito,27
196,planejamento estratégico,27
197,critério,27
198,técnica,27
199,diretoria executiva,27
200,norma,27
201,sociais,27
202,princípio,27
203,valores,27
204,obra,27
205,dezembro,27
206,assim,27
