,palavras,quantidade
0,œ,148
1,responsabilidade social,144
2,econômico financeiro,144
3,relatório anual,140
4,energia,119
5,gestão,117
6,transmissão,110
7,empregado,110
8,trabalho,103
9,geração,102
10,empresa,100
11,companhia,94
12,financeiro dimensão,88
13,segurança,81
14,meio,68
15,gri,67
16,empreendimento,65
17,energia elétrica,64
18,programa,63
19,processo,62
20,área,62
21,objetivo,61
22,todo,61
23,desenvolvimento,57
24,projeto,56
25,ano,54
26,serviço,53
27,risco,50
28,ações,49
29,usina,48
30,saúde,47
31,operação,46
32,milhões,45
33,relação,43
34,atividade,43
35,água,42
36,resultado,40
37,negócio,36
38,política,36
39,linha,36
40,qualidade,36
41,administração,35
42,conselho,35
43,sistema,35
44,sustentabilidade,35
45,implantação,34
46,consumo,34
47,investimento,34
48,paraná,34
49,redução,33
50,estado,33
51,plano,32
52,governança corporativa,32
53,setor elétrico,32
54,forma,32
55,iniciativa,31
56,dimensão social,31
57,manutenção,31
58,uso,31
59,disclosures gri,31
60,número,31
61,construção,30
62,participação,30
63,gri standards,30
64,comunidade,29
65,reservatório,29
66,holding,29
67,sobre,29
68,desempenho,29
69,atendimento,28
70,monitoramento,28
71,dimensão geral,28
72,impacto,27
73,gri gri,27
74,período,27
75,fornecedores,27
76,divulgação observações,26
77,além,26
78,financeiro índice,26
79,relatório omissão,26
80,observações página,26
81,standards divulgação,26
82,mercado,25
83,social,25
84,avaliação,25
85,ainda,25
86,cada,25
87,outro,24
88,pessoa,24
89,treinamento,24
90,valor,23
91,controle,23
92,relatório,23
93,toda,23
94,indicadores,23
95,integridade,23
96,município,22
97,setorial,22
98,indeterminado programa,22
99,caso,21
100,meio ambiente,21
101,código,20
102,obra,20
103,sendo,20
104,tema,20
105,pacto global,20
106,análise,20
107,conduta,20
108,mil,19
109,desenvolvimento sustentável,19
110,aneel,19
111,contrato,19
112,relacionado,19
113,conforme,19
114,mudança,19
115,lei,19
116,comitê,19
117,melhoria,19
118,fonte,19
119,ambiental,18
120,pesquisa,18
121,ativo,18
122,acordo,18
123,dimensão ambiental,18
124,informações,18
125,partes interessadas,18
126,ação,18
127,benefício,18
128,diretrizes,17
129,ambientais,17
130,indeterminado,17
131,valores,17
132,diversidade,17
133,corrupção,17
134,prevenção,17
135,órgão,17
136,gerenciamento,16
137,temas materiais,16
138,quais,16
139,aumento,16
140,distribuição,16
141,compromisso,16
142,contratação,16
143,site,16
144,mw,16
145,meta,16
146,instalações,16
147,canal,16
148,promover,16
149,nº,16
150,possui,16
151,princípio,16
152,prática,15
153,execução,15
154,bem,15
155,realizado,15
156,partir,15
157,outra,15
158,auditoria,15
159,interesse,15
160,setor,15
161,operações,15
162,pode,15
163,recursos hídricos,15
164,dados,14
165,conta,14
166,denúncia,14
167,comercialização,14
168,cultura,14
169,unidade,14
170,demanda,14
171,acidente,14
172,conjunto,14
173,infraestrutura,14
174,organização,14
175,limite,13
176,fauna,13
177,educação,13
178,estrutura,13
179,receita,13
180,população,13
181,relações,13
182,dia,13
183,subsidiárias integrais,13
184,realizada,13
185,técnico,13
186,proposta,13
187,incentivo,13
188,durante,13
189,ods,13
190,mantém,13
191,acompanhamento,13
192,custo,13
193,mulheres,13
194,efeito estufa,12
195,público,12
196,capacitação,12
197,quantidade,12
198,tipo,12
199,recurso,12
200,principais,12
201,resíduo,12
202,feito,12
203,desde,12
204,equipe,12
205,profissionais,12
206,fase,12
207,apoio,12
208,equipamento,12
209,específico,12
210,balanço social,12
211,novo,12
212,modernização,12
213,promoção,12
214,entorno,12
215,família,12
216,nova,12
217,conservação,12
218,inovação,12
219,demonstrações financeiras,11
220,produção,11
221,dimensão governança,11
222,prestação,11
223,vida,11
224,parte,11
225,exercício,11
226,instalação,11
227,direito,11
228,relato integrado,11
229,emissões,11
230,gases,11
231,curso,11
232,base,11
233,início,11
234,estratégia,11
235,necessidade,11
236,acionista,11
237,melhores práticas,11
238,abordagem,11
239,trabalho gri,11
240,disponibilidade,11
241,cliente,11
242,programa nacional,11
243,concessão,11
244,gri abordagem,11
245,œ programa,10
246,taxa,10
247,sistema elétrico,10
248,auditoria interna,10
249,responsável,10
250,relacionamento,10
251,procedimento,10
252,medida,10
253,região,10
254,usina hidrelétrica,10
255,conformidade,10
256,final,10
257,perigo,10
258,rede,10
259,capacidade instalada,10
260,componentes,10
261,econômico financeira,10
262,cumprimento,10
263,gestão gri,10
264,trabalhadores,10
265,uhe colíder,10
266,gri avaliação,10
267,modelo,10
268,seguinte,10
269,oportunidade,10
270,gri formas,10
271,gri explicação,10
272,legislação,10
273,responsabilidade,10
