,palavras,quantidade
0,sustentabilidade,94
1,gestão,86
2,œ,77
3,companhia,66
4,negócio,64
5,projeto,62
6,gri,57
7,relatório,56
8,unidade,56
9,ano,55
10,sobre,54
11,resultado,52
12,risco,52
13,milhões,52
14,programa,52
15,ecovia,51
16,investimento,49
17,valor,48
18,ł,47
19,segurança,47
20,empresa,46
21,colaboradores,43
22,infraestrutura,41
23,processo,40
24,acidente,40
25,administração,39
26,serviço,39
27,impacto,38
28,redução,38
29,rodovia,37
30,acordo,37
31,toda,34
32,indicadores,32
33,trabalho,32
34,concessionária,32
35,meio,32
36,informações,31
37,emissões,31
38,água,30
39,financeiro,30
40,ética,30
41,imigrantes,30
42,concessões,29
43,ações,29
44,obra,28
45,estratégia,28
46,desenvolvimento sustentável,28
47,forma,28
48,tráfego,28
49,comitê,28
50,materiais,28
51,usuário,28
52,área,27
53,desenvolvimento,27
54,outro,26
55,integridade,25
56,saúde,25
57,comunidade,25
58,aspectos,25
59,pró forma,25
60,conselho,25
61,prática,25
62,objetivo,24
63,consumo,24
64,crescimento,24
65,operação,24
66,oportunidade,24
67,todo,24
68,política,23
69,análise,22
70,pessoa,22
71,meta,22
72,mil,21
73,fornecedores,21
74,futuro,21
75,eco135,21
76,relação,21
77,educação,21
78,ambiental,21
79,construção,21
80,sistema,21
81,conselheiro efetivo,20
82,uso,20
83,ambientais,20
84,plano,20
85,pedágio,19
86,além,19
87,atendimento,19
88,inovação,19
89,avaliação,19
90,treinamento,19
91,ecoponte,19
92,energia,19
93,responsabilidade,19
94,capital,19
95,base,19
96,manutenção,18
97,governança,18
98,nova,18
99,medida,18
100,campanha,18
101,aumento,18
102,elaboração,18
103,foco,18
104,br,18
105,abordagem,18
106,qualidade,18
107,operações,17
108,ecoporto,17
109,país,17
110,geração,17
111,resíduos,17
112,compromisso,17
113,volume,16
114,procedimentos,16
115,services ltda,16
116,operacionais,16
117,iniciativa,16
118,ebitda pró,16
119,financial risk,16
120,risk actuarial,16
121,recurso,16
122,concessões rodoviárias,16
123,tecnologia,16
124,asseguração limitada,16
125,actuarial services,16
126,ativo,16
127,controles internos,15
128,clima,15
129,corrupção,15
130,vemos,15
131,trânsito,15
132,estrutura,15
133,custo,15
134,leniência,15
135,estrada,15
136,mercado,15
137,liderança,15
138,contrato,15
139,melhoria,15
140,longo,15
141,incluindo,15
142,concessão,15
143,iso,14
144,implantação,14
145,logística,14
146,quanto,14
147,pág,14
148,compliance,14
149,initiative gri,14
150,conformidade,14
151,trabalhamos,14
152,diretrizes,14
153,gri standard,14
154,desafio,14
155,reporting initiative,14
156,informações divulgadas,14
157,cultura,14
158,eco050,13
159,caso,13
160,ação,13
161,global reporting,13
162,gases,13
163,componentes evolução,13
164,limites abordagem,13
165,regiões,13
166,tópico material,13
167,combate,13
168,explicação sobre,13
169,gestão explicação,13
170,gri abordagem,13
171,trecho,13
172,relato,13
173,valores,13
174,ecoporto santos,13
175,independente,13
176,reuniões,13
177,desempenho,13
178,dezembro,13
