,palavras,quantidade
0,saúde,90
1,implementação,84
2,crescimento económicocidades,80
3,comunidades sustentáveisação,80
4,terrestreindústria inovação,80
5,vida terrestreindústria,80
6,vida marinhaproteger,80
7,consumo sustentáveisproteger,80
8,climáticaenergias renováveis,80
9,desigualdadeságua potável,80
10,sustentáveisação climáticaenergias,80
11,acessíveispaz justiça,80
12,instituições eficazesparcerias,80
13,saneamentoprodução,80
14,géneroreduzir,80
15,qualidadeigualdade,80
16,qualidadeeducação,80
17,fomesaúde,80
18,pobrezaerradicar,80
19,infraestruturastrabalho digno,80
20,contact dpicampaigns,76
21,dpicampaigns un,76
22,collaboration,76
23,un orgdeveloped,76
24,non,76
25,theglobalgoals trollback,76
26,september erradicar,76
27,cial translation,76
28,usage contact,76
29,translation made,76
30,unric brussels,76
31,brussels september,76
32,objetivosfor queries,68
33,relatório anual,65
34,gestão,61
35,cliente,57
36,unidade,52
37,colaboradores,49
38,empresa,49
39,ano,48
40,serviço,48
41,forma,46
42,processo,45
43,pessoa,44
44,meio,44
45,atendimento,41
46,paciente,40
47,programa,40
48,emissões,40
49,iniciativa,39
50,área,37
51,risco,36
52,sustentabilidade índice,35
53,companhia,34
54,redução,34
55,pacto global,31
56,sustentabilidade,30
57,pro ssionais,30
58,organização,30
59,trabalho,29
60,inovação,29
61,consumo,29
62,projeto,28
63,escopo,26
64,princípios pacto,26
65,parceria,26
66,dado,25
67,exame,25
68,além,25
69,segurança,24
70,global ods,23
71,marca,22
72,avaliação,22
73,meio ambiente,22
74,diversidade,22
75,todo,21
76,sobre,21
77,treinamento,21
78,negócio,21
79,energia,21
80,médico,20
81,gestão gri,20
82,desenvolvimento,20
83,foco,20
84,aumento,20
85,número,20
86,componentes avaliação,20
87,limite forma,20
88,tópico material,20
89,cada,20
90,gestão explicação,20
91,toda,20
92,cadeia,20
93,objetivo,19
94,cuidado,19
95,água,19
96,centro,19
97,gri forma,19
98,estratégia,18
99,plataforma,17
100,veri cação,17
101,fornecedores,17
102,ações,17
103,melhoria,16
104,hora,16
105,além disso,16
106,setor,16
107,crescimento,16
108,qualidade,16
109,assim,15
110,bem estar,15
111,mercado,15
112,uso,15
113,equipe,15
114,política,15
115,mil,15
116,plano,15
117,conhecimento,14
118,meta,14
119,atividade,14
120,relacionamento,14
121,operações,14
122,outro,14
123,longo,14
124,outra,14
125,experiência,14
126,destaque,14
127,resultado,14
128,excelência,13
129,sistema,13
130,paulo,13
131,principais,13
132,acesso,13
133,fonte,13
134,cada vez,13
135,dia,13
136,agenda,13
137,acordo,13
138,três,13
139,gri standards,13
140,conteúdo gri,13
141,milhões,13
142,base,13
143,país,13
144,empregado,13
145,gênero,12
146,uência,12
147,categoria,12
148,oportunidade,12
149,relatório,12
150,efeito estufa,12
151,integridade,12
152,realização,12
153,índice sumário,12
154,papel,12
155,impacto,12
156,quanto,12
157,vida,12
158,gases,11
159,impacto ambiental,11
160,campanha,11
161,taxa,11
162,gri disclosure,11
163,rio,11
164,geração,11
165,governança,11
166,tema,11
167,direitos humanos,11
168,investimento social,11
169,ambiente índice,11
170,capacitação,11
171,sustentabilidade econômica,10
172,ˆˇ ˆˇ,10
173,janeiro,10
174,tratamento,10
175,análises clínicas,10
176,realizado,10
177,prática,10
178,voluntário,10
179,tempo,10
180,relação,10
181,informações,10
182,conteúdo,10
183,sustentabilidade cuidado,10
184,desempenho,10
185,tópicos materiais,10
186,materiais,9
187,período,9
188,compliance,9
189,identi cação,9
190,comunidade,9
191,comentário página,9
192,comunidade local,9
193,partir,9
194,valorização,9
195,standard gri,9
196,promoção,9
197,disclosure comentário,9
198,caso,9
199,arti cial,9
200,quadro,9
201,privacidade,9
202,produto,9
203,educação,9
204,cerca,9
205,participação,9
206,comunicação,9
207,iniciativas sociais,9
208,integração,9
209,social,8
210,infraestrutura,8
211,pesquisa,8
212,parte,8
213,voluntariado,8
214,mulheres,8
215,instituições,8
216,ferramenta,8
217,queries,8
218,sendo,8
219,acidente,8
220,bureau veritas,8
221,cálculo,8
222,ods relatório,8
223,trabalhamos,8
224,análise,8
225,produtividade,8
226,conceito,8
227,interna,8
228,compromisso,8
229,engajamento diálogo,8
230,dentro,8
231,sociedade,8
232,inteligência arti,8
233,valores,8
234,administração,8
235,orientação sexual,8
236,desa,8
237,étnico racial,8
238,dezembro,8
239,desde,8
240,entidades setoriais,7
241,fornecedores contribuição,7
242,saúde pública,7
243,pode,7
244,pública prevenção,7
245,governança corporativa,7
246,transporte,7
247,água consumo,7
248,resíduos consumo,7
249,onde,7
250,rio grande,7
251,operação,7
252,prêmio,7
253,transformação digital,7
254,trajeto,7
255,ciência,7
256,genômica,7
257,isis educação,7
258,sociedade isis,7
259,colaboradores rc,7
260,geramos valor,7
261,capitais tópicos,7
262,regionais,7
263,realizada,7
264,volume,7
265,avalia,7
266,alto órgão,7
267,ação,7
268,standards standard,7
269,partes interessadas,7
270,prevenção,7
271,saúde segurança,7
272,instalações sustentáveis,7
273,inclusão igualdade,7
274,combate,7
275,monitoramento,7
276,busca,7
277,quantidade,7
278,metodologia,7
279,ghg protocol,6
280,teste,6
281,econômica ise,6
282,cliente ec,6
283,local gestão,6
284,sociais engajamento,6
285,parcerias ap,6
286,colabora dores,6
287,receita,6
288,população desenvolvimento,6
289,discriminação,6
290,identidade,6
291,ap engajamento,6
292,semana,6
293,quatro,6
294,área técnica,6
295,tipo,6
296,mudança,6
297,diretrizes,6
298,técnico cientí,6
299,oferecido,6
300,diversas,6
301,serviços tecnologias,6
302,negócio pesquisa,6
303,modelo,6
304,cientí ca,6
305,tecnologias digitais,6
306,central,6
307,tco equivalente,6
308,estado,6
309,combustíveis,6
310,presente,6
311,saber,6
312,expansão,6
313,medida,6
314,emissões indiretas,6
315,emissões diretas,6
316,casa,6
317,integridade índice,6
318,possibilidade,6
319,ambiental ia,6
320,ciente,6
321,implantamos,6
322,desenvolvimento novos,6
323,frente,6
324,aquisição,6
325,reuniões,6
326,nal,6
327,comparação,6
328,inovação técnico,6
329,saúde médicos,6
330,auxilia,6
331,geracional orientação,6
332,colaborador,6
333,especí co,6
334,gênero pessoas,6
335,buscar,6
336,promover,6
337,garantir,6
338,médica,6
339,fornecedores operadoras,6
340,promovido,6
341,medicina diagnóstica,6
342,controle,6
343,abordagem,6
344,desenvolvemos,6
345,critérios,6
346,identi car,6
347,saúde formação,6
348,engajamento startups,6
349,novos negócios,6
350,startups fornecedores,6
351,intensidade energética,6
352,essência,6
353,energia infraestrutura,6
354,br eury,5
355,dá,5
356,transparência,5
357,ca saúde,5
358,ética,5
359,troca,5
360,hoje,5
361,indicadores,5
362,reduzir,5
363,ri eury,5
364,tomada,5
365,comitê,5
366,documento,5
367,reconhecido,5
368,eury web,5
369,utiliza,5
370,capacidade,5
371,estimular,5
372,cultura,5
373,hospital liderança,5
374,enfermagem hospital,5
375,exames realizados,5
376,corporativo enfermagem,5
377,cd corporativo,5
378,cac cd,5
379,atendimento cac,5
380,presença,5
381,técnica atendimento,5
382,categoria funcional,5
383,realiza,5
384,novas unidades,5
385,maior,5
386,saúde alianças,5
387,benefícios,5
388,idioma conta,5
389,referência,5
390,usuário,5
391,web conteudo_pt,5
392,conteudo_pt asp,5
393,dias perdidos,5
394,asp idioma,5
395,ouvidoria,5
396,pro ssional,5
397,portfólio,5
398,diagnóstico,5
399,implantação,5
400,externa,5
401,ampliar,5
402,remuneração,5
403,conta tipo,5
404,hospitais,5
405,stakeholders,5
406,valor ods,5
407,inventário,5
408,média,5
409,novo modelo,5
410,nações unidas,5
411,linha,5
412,sustentabilidade empresarial,5
413,formação,5
414,renováveis,5
415,classe,5
416,índice capitais,5
417,coleta,5
418,relações,5
419,atuação,5
420,laboratório,5
421,construção,5
422,carreira,5
423,adoção,5
424,dessa,5
425,sustentabilidade transparência,5
426,ambientais,5
427,controladas,5
428,doença,5
429,resíduos perigoso,5
430,desenvolvida,5
431,contamos,5
432,gás natural,5
433,sustentabilidade inovação,5
434,digital índice,5
435,lean six,5
436,receita bruta,5
437,digitais relacionamento,5
438,recursos,5
439,ise inovação,5
440,jornada,5
441,prestação,5
442,câncer,5
443,equipamentos,5
444,selecionado,5
445,questões,5
446,necessidade,5
447,signi cativo,5
448,anual,5
449,racial gênero,5
450,sociedade índice,5
451,seguinte,5
452,pró ética,5
