,palavras,quantidade
0,relatório,3
1,sustentabilidade,2
2,leia,1
3,parar,1
4,sigla,1
5,inglês,1
6,agradecemos,1
7,participação,1
8,todos,1
9,colaboradores,1
10,clientes,1
11,parceiros,1
12,esg,1
13,alcançados,1
14,esforço,1
15,conjunto,1
16,chegamos,1
17,aqui,1
18,vamos,1
19,resultados,1
20,governança,1
21,social,1
22,ambiente,1
23,orgulho,1
24,satisfação,1
25,publicar,1
26,relativo,1
27,evolução,1
28,contínua,1
29,negócios,1
30,gestão,1
31,companhia,1
32,compromisso,1
33,responsabilidade,1
34,principais,1
35,questões,1
36,sobre,1
37,meio,1
38,completo,1
