,palavras,quantidade
0,energia,160
1,companhia,110
2,relatório,101
3,cliente,96
4,resultado,90
5,projeto,87
6,empresa privada,82
7,área,82
8,privada voltada,80
9,investimentos esg,80
10,sustentabilidade investimentos,79
11,processo,79
12,esg cultura,78
13,resultados plano,78
14,turnaroundresultado sobre,78
15,milhões,72
16,gestão,72
17,perda,72
18,empresa,71
19,redução,69
20,serviço,68
21,ações,66
22,segurança,59
23,risco,58
24,introduçãocompromisso,58
25,ano,53
26,trabalho,44
27,œ,44
28,qualidade,44
29,plano,44
30,distribuição,43
31,mercado,43
32,atividade,42
33,valor,42
34,sistema,42
35,sobre,42
36,objetivo,42
37,rio,40
38,meio,39
39,rede,38
40,forma,37
41,estratégia,37
42,custo,36
43,aumento,35
44,aneel,34
45,administração,34
46,reduzir,33
47,concessão,32
48,todo,32
49,melhoria,32
50,atendimento,32
51,gri,31
52,sesa,31
53,contrato,31
54,recurso,31
55,maior,31
56,combate,30
57,relacionamento,30
58,programa,30
59,gri gri,30
60,iniciativa,29
61,sendo,29
62,técnica,29
63,desenvolvimento,29
64,consumo,29
65,social,29
66,controle,28
67,usina,28
68,novo,28
69,nova,28
70,mil,28
71,janeiro,27
72,ética,27
73,tema,27
74,relação,27
75,geração,26
76,colaboradores,26
77,toda,26
78,acionista,26
79,indicadores,25
80,realizado,25
81,impacto,25
82,conselho,25
83,parte,25
84,manutenção,25
85,fornecimento,24
86,atuação,23
87,além,23
88,cada,23
89,acordo,23
90,fornecedores,23
91,comunidade,23
92,medida,23
93,ainda,23
94,equipe,23
95,outra,22
96,campo,22
97,política,22
98,denúncia,22
99,pmso,21
100,financeiro,21
101,estrutura,21
102,comitê,21
103,público,21
104,ambiental,21
105,compromisso,21
106,receita,20
107,comercial,20
108,realizada,20
109,tecnologia,20
110,operação,20
111,importante,20
112,mento,20
113,gwh,20
114,estado,20
115,principais,20
116,realizamos,20
117,relacionado,19
118,operacionais,19
119,além disso,19
120,desse,19
121,conta,19
122,informações,19
123,participação,19
124,grande,19
125,eficiência energética,18
126,segmento,18
127,mw,18
128,energia elétrica,18
129,longo,17
130,satisfação,17
131,força,17
132,desafio,17
133,eficiente,17
134,caso,17
135,ativo,17
136,dívida,16
137,governança,16
138,mudança,16
139,vida,16
140,estratégico,16
141,priorização,16
142,destacamos,16
143,responsável,16
144,uso,16
145,principal,16
146,cultura,16
147,dois,16
148,desempenho,15
149,treinamento,15
150,pesquisa,15
151,operacional,15
152,negócio,15
153,quanto,15
154,indicador,15
155,outro,15
156,capital,15
157,período,15
158,meses,15
159,resíduo,15
160,demais,15
161,pessoa,15
162,econômico,15
163,dezembro,15
164,crédito,15
165,canais,15
166,furto,14
167,diversas,14
168,obra,14
169,sociedade,14
170,garantir,14
171,modelo,14
172,fim,14
173,número,14
174,meta,14
175,diretoria,14
176,ponto,14
177,implantação,14
178,nacional,14
179,valores,13
180,escola,13
181,seguinte,13
182,equipamento,13
183,março,13
184,cerca,13
185,stakeholders,13
186,bem,13
187,dia,13
188,possíveis,13
189,índice,13
190,melhor,13
191,interno,13
192,turnaround,13
193,caixa,13
194,remuneração,13
195,consumidores,13
