,palavras,quantidade
0,mulheres,61
1,projeto,59
2,instituto,54
3,comunidade,46
4,empoderamento,34
5,desenvolvimento,32
6,trabalho,28
7,moda,25
8,ł,25
9,social,23
10,meio,22
11,ﬂ,22
12,oportunidade,21
13,pessoa,20
14,negócio,19
15,além,19
16,página,19
17,vida,19
18,recurso,18
19,ano,18
20,empreendedora,18
21,empreendedorismo,17
22,apoio,17
23,parceria,16
24,capacitação,16
25,bom jesus,15
26,empresa,15
27,sobre,15
28,liderança,14
29,valor,14
30,gri,14
31,ações,14
32,onu mulheres,13
33,jovens,13
34,iniciativa,13
35,formação,12
36,econômico,12
37,importante,12
38,geração,12
39,bit ly,12
40,programa,11
41,organização,11
42,transformação,11
43,impacto,10
44,cadeia,10
45,renda,10
46,cliente,10
47,princípio,10
48,feminino,10
49,upcycling,10
50,partir,9
51,porto alegre,9
52,desde,9
53,todo,9
54,sustentabilidade,9
55,curso,9
56,sustentável,9
57,sociedade,9
58,incentivo fiscal,9
59,investimento,9
60,cidadania,9
61,comunitária,8
62,relatório,8
63,melhor,8
64,participante,8
65,grande,8
66,refugiadas,8
67,bonja viva,8
68,associação,8
69,costura,8
70,objetivo,8
71,gestão,8
72,nova,8
73,avançam juntas,8
74,empoderando refugiadas,8
75,mulher,8
76,todas avançam,8
77,sede,8
78,outra,7
79,ﬁa,7
80,prática,7
81,coletivo,7
82,promover,7
83,potencial,7
84,dois,7
85,futuro,7
86,cadeia têxtil,7
87,tema,7
88,esporte,7
89,moradores,7
90,engajamento,7
91,mercado,7
92,produto,7
93,técnica,7
94,agência,7
95,serviço,7
96,setor,7
97,disso,7
98,rede,7
99,criação,7
100,cultura,7
101,ideia,7
102,próprio,6
103,parte,6
104,maneira,6
105,fazer,6
106,gênero,6
107,acesso,6
108,panorama,6
109,financeira,6
110,privado,6
111,conheça,6
112,mil,6
113,toda,6
114,protagonismo,6
115,stakeholders,6
116,qualidade,6
117,investido,6
118,realidade,6
119,lei,6
120,família,6
121,diversas,6
122,tecnologia,6
123,projetos apoiados,6
124,compromisso,6
125,desenvolver,6
126,locais,6
127,pode,6
128,colaboradores,6
129,encontro,6
130,direitos humanos,6
131,produção,6
132,três,6
133,junto,6
134,atuação,6
135,mundo,6
136,evento,6
137,semente,6
138,saiba,6
139,captações instituto,6
140,criança,5
141,esportivo,5
142,profissionais,5
143,financeiro,5
144,cooperativa,5
145,bem,5
146,dentro,5
147,dado,5
148,despesas,5
149,outro,5
150,beneficiadas,5
151,tumbira,5
152,ods,5
153,mudança,5
154,varejo,5
155,turma,5
156,forma,5
157,brasileira,5
158,emprego,5
159,ﬁo,5
160,gerar,5
161,realização,5
162,processo,5
163,durante,5
164,diferentes,5
165,local,5
166,destaque,5
167,venda,5
168,conteúdo,5
169,histórias,5
170,onde,5
171,relação,5
172,investimento social,5
173,peças,5
174,pescar,5
175,buscando,5
176,ação,5
177,ambiental,5
178,agência compromisso,5
179,alegre rs,5
180,espaço,5
181,copearte,5
182,modelo,5
183,transformadora,5
184,sociais,5
185,formado,5
186,ciclo,5
187,materiais,5
188,produtivo,5
189,desenvolvido,5
190,econômica,4
191,conhecimento,4
192,habilidades,4
193,pessoal,4
194,empreendedores,4
195,material,4
196,profissional,4
197,avanço,4
198,nesse,4
199,bairro,4
200,problemas,4
201,acordo,4
202,escola,4
203,sebrae,4
204,competências,4
205,florianópolis,4
206,articulação,4
207,elos,4
208,autonomia,4
209,grupos,4
210,principais,4
211,igualdade,4
212,campanha,4
213,maior,4
214,centro,4
215,situação,4
216,metodologia,4
217,conceito,4
218,movimento,4
219,fornecedores,4
220,elaboração,4
221,roupas,4
222,participação,4
223,economia,4
224,coletiva,4
225,criado,4
226,cidade,4
227,coisas,4
228,parceiro,4
229,quatro,4
230,sempre,4
231,companhia,4
232,dessa,4
233,agora,4
234,tópicos,4
235,aprendizes,4
236,novo,4
237,construção,4
238,desigualdade,4
239,gente,4
240,diversidade,4
241,financeiramente,4
242,ganha,4
243,apoiando,4
244,duas,4
245,etapa,4
246,líderes,4
247,armário coletivo,4
248,bairro bom,4
249,gerando,4
250,papel,4
251,pacto global,4
252,sentido,4
253,missão,4
254,nações unidas,4
255,transformar,4
256,conselho,4
257,condições,4
258,linha,4
259,atividades,4
260,possibilidade,4
261,realizado,4
262,primeira,4
263,longo,4
264,cultural,4
265,final,4
266,olhar,4
267,sei,4
268,política,4
269,adolescente,4
270,instituições,4
271,algodão agroecológico,4
272,cinco,4
273,sonho,4
274,œ,4
275,nacional,4
276,força,4
277,fundo,4
278,fiscal,4
279,boa vista,4
280,oficinas,4
281,apoiar,3
282,fortalecer,3
283,lançamento,3
284,suplente,3
285,vivência,3
286,consumo,3
287,vídeo,3
288,período,3
289,esportiva,3
290,busca,3
291,idoso,3
