,palavras,quantidade
0,gestão,147
1,companhia,111
2,œ,80
3,ano,74
4,processo,66
5,cliente,64
6,gri,63
7,empresa,62
8,obra,62
9,programa,59
10,negócio,57
11,sustentabilidade,57
12,colaboradores,57
13,todo,49
14,meio,47
15,trabalho,46
16,fornecedores,45
17,desenvolvimento,39
18,ações,37
19,tema,35
20,relacionamento,35
21,saúde,33
22,serviço,33
23,abordagem,33
24,objetivo,32
25,segurança,31
26,setor,31
27,área,31
28,risco,31
29,gri abordagem,30
30,consumo,30
31,produto,30
32,água,30
33,treinamento,29
34,inovação,28
35,política,27
36,tópico material,27
37,atividade,27
38,relação,27
39,gestão explicação,27
40,explicação sobre,27
41,qualidade,26
42,resultado,26
43,organização,26
44,pacto global,26
45,tecnologia,25
46,toda,25
47,componentes evolução,25
48,vida,25
49,mulheres homens,24
50,sobre,24
51,construção,24
52,projeto,24
53,materiais,24
54,empregado,23
55,integridade,23
56,partir,23
57,meta,23
58,operações,23
59,empreendimento,22
60,acordo,22
61,stakeholder,22
62,limites abordagem,22
63,impacto,21
64,índice,21
65,número,21
66,energia,21
67,iniciativa,20
68,educação,20
69,realizado,20
70,realizada,20
71,valor,20
72,redução,20
73,estratégia,20
74,forma,19
75,além,19
76,experiência,19
77,garantir,18
78,uso,18
79,foco,18
80,relatório,18
81,compromisso,18
82,corrupção,18
83,governança,18
84,compliance,18
85,cadeia,18
86,oportunidade,17
87,compra,17
88,milhões,17
89,parceria,17
90,prática,17
91,dias perdidos,17
92,taxa,17
93,plataforma,16
94,participação,16
95,engajamento,16
96,comunidade,16
97,acidente,15
98,terreno,15
99,aumento,15
100,construção civil,15
101,contrato,15
102,mercado,15
103,público,15
104,sistema,15
105,resíduo,15
106,pessoa,15
107,desempenho,14
108,quais,14
109,investimento,14
110,maior,14
111,parceiro,14
112,rede,14
113,instituto,14
114,cultura,14
115,standard divulgação,14
116,página omissão,14
117,responsabilidade,14
118,ação,14
119,omissão ods,14
120,liderança,14
121,ods pacto,14
122,criação,14
123,conselho,14
124,divulgação página,14
125,planejamento,13
126,outras,13
127,comitê,13
128,administração,13
129,unidade,13
130,outro,13
131,plano,13
132,caso,13
133,curso,12
134,emissões,12
135,gases,12
136,soluções,12
137,direitos humanos,12
138,econômico,12
139,103fi2 103fi3,12
140,efeito estufa,12
141,venda,12
142,parte,12
143,desenvolvimento sustentável,12
144,controle,12
145,meio ambiente,11
146,matriz,11
147,mil,11
148,valores,11
149,norma,11
150,presente,11
151,hora,11
152,busca,11
153,terceiro,11
154,profissionais,11
155,longo,11
156,acesso,11
157,além disso,11
158,tempo,11
159,ambientais,11
160,investidores,11
161,demanda,11
162,volume,11
163,gri 103fi2,11
164,produção,11
165,casa,10
166,base,10
167,propósito,10
168,sede,10
169,percentual,10
170,social,10
171,ainda,10
172,dia,10
173,cidade,10
174,método,10
175,mês,10
176,bem estar,10
177,nova,10
178,concreto,10
179,importante,10
180,futuro,10
181,melhoria,10
182,crescimento,10
183,gri divulgações,10
184,análise,10
185,mudança,9
186,entrega,9
187,diretrizes,9
188,tema material,9
189,mil pessoas,9
190,mi,9
191,promover,9
192,mudanças climáticas,9
193,conduta,9
194,código,9
195,luggo,9
196,escola,9
197,visão,9
198,saúde segurança,9
199,dado,9
200,departamento,8
201,suprimentos,8
202,imóvel,8
203,ocorrência,8
204,empreiteiros,8
205,principais,8
206,implementação,8
207,ética transparência,8
208,avaliado,8
209,transformação digital,8
210,ambiental,8
211,monitoramento,8
212,pesquisa,8
213,line,8
214,associação,8
215,escravo,8
216,promoção,8
217,realização,8
218,canal,8
219,análogo,8
220,energia elétrica,8
221,medida,8
222,avaliação,8
223,utilização,8
224,órgão,8
225,fonte,8
226,beneficiou pessoas,8
227,temas materiais,8
228,marca,8
229,divulgações gerais,8
230,diversificação,8
231,diretoria,8
232,plataforma habitacional,7
233,governo,7
234,moradia,7
235,responsável,7
236,cadastro,7
237,funcionário,7
238,revisão,7
239,tipo,7
240,vizinhança,7
241,fundo,7
242,relacionados,7
243,leitura,7
244,comunicação,7
245,onu,7
246,habitação,7
247,pode,7
248,combate,7
249,informações,7
250,mantém,7
251,disponibiliza,7
252,gri xx,7
253,modelo,7
254,trabalho forçado,7
255,custo,7
256,clima,7
257,bem,7
258,tópico,7
259,diversidade,7
260,energia fotovoltaica,7
261,categoria funcional,7
262,valor adicionado,7
263,global gri,7
264,documento,7
265,necessidade,7
266,negociação coletiva,7
267,integram,6
268,aderência,6
269,profissional,6
270,governança corporativa,6
271,execução,6
272,ambientais sociais,6
273,organizações,6
274,aquisição,6
275,produtividade,6
276,sustentável ods,6
277,atuação,6
278,tempo real,6
279,participaram,6
280,destinado,6
281,talento,6
282,b3,6
283,cada,6
284,procedimento,6
285,jovens,6
286,minas gerais,6
287,nações unidas,6
288,œ desde,6
289,transformar,6
290,absenteísmo,6
291,emissões indiretas,6
292,momento,6
293,ferramenta,6
294,fornecedores gri,6
295,evento,6
296,unidade produzida,6
297,sonho,6
298,quantidade,6
299,lei,6
300,estado,6
301,sendo,6
302,cinco anos,6
303,recurso,6
304,standards gerais,6
305,nota,6
306,desenvolver,6
307,diretor executivo,6
308,desenvolvimento humano,6
309,canteiro,6
310,legislação brasileira,6
311,gerais gri,6
312,inclusão,6
313,membro,6
314,série,6
315,estrutura,6
316,capital humano,6
317,soluções habitacionais,6
318,operação,5
319,registro,5
320,nº nº,5
321,chave,5
322,direito,5
323,reduzir,5
324,relacionamento próximo,5
325,discriminação,5
326,conscientização,5
327,aumentar,5
328,construções,5
329,aluguel,5
330,acompanhamento,5
331,conta,5
332,sobre mudança,5
333,cada vez,5
334,seleção,5
335,atua,5
336,oferecer,5
337,software,5
338,pós venda,5
339,licença maternidade,5
340,eduardo fischer,5
341,município,5
