,palavras,quantidade
0,partir,270
1,estratégia,249
2,visão,232
3,informações sobre,225
4,divulgações complementares,221
5,quadro geral,221
6,covid apresentação,219
7,complementares sobre,219
8,sustentabilidade informações,218
9,negócios evolução,218
10,causas quadro,218
11,companhia divulgações,218
12,essência covid,218
13,relatório,203
14,consultora,203
15,sumário,180
16,produto,114
17,colaboradores,111
18,negócio,103
19,américa latina,97
20,sobre,84
21,fornecedores,78
22,empresa,77
23,operações,72
24,todo,72
25,venda,71
26,desenvolvimento,71
27,gri,69
28,gestão,65
29,ano,65
30,marca,60
31,valor,60
32,comunidade,59
33,processo,58
34,cadeia,57
35,embalagens,51
36,desenvolvimento sustentável,50
37,meio,49
38,projeto,49
39,modelo,48
40,rede,48
41,relações,47
42,pacto global,46
43,outro,45
44,ações,45
45,toda,44
46,trabalho,44
47,resultado,44
48,número,43
49,mundo,43
50,iniciativa,42
51,tema,41
52,standard divulgação,41
53,divulgação página,41
54,sustentável pacto,41
55,omissão objetivos,41
56,página omissão,41
57,novo,40
58,emissões,40
59,gri standard,40
60,risco,40
61,programa,39
62,œ,38
63,compromisso,38
64,sociobiodiversidade,37
65,companhia,37
66,sustentabilidade,36
67,inovação,36
68,global gri,35
69,co,35
70,além,35
71,leia,35
72,relação,35
73,segurança,34
74,ainda,34
75,saúde,34
76,consumidores,33
77,abordagem,32
78,líderes,31
79,consumo,31
80,área,31
81,água,31
82,conselho,30
83,apoio,30
84,treinamento,30
85,evolução,29
86,mulheres,29
87,índice,29
88,nova,28
89,sociedade,28
90,pesquisa,28
91,gri abordagem,28
92,comunidades fornecedoras,28
93,atividade,27
94,serviço,27
95,diversidade,27
96,insumo,27
97,gestão abordagem,27
98,redução,27
99,público,27
100,realizada,27
101,mudanças climática,26
102,milhões,26
103,oportunidade,26
104,beleza,26
105,pessoa,26
106,educação,25
107,pós consumo,25
108,principais,25
109,presente,24
110,homens mulheres,24
111,uso,24
112,line,24
113,canal,24
114,compra,23
115,incluindo,23
116,outra,23
117,desde,23
118,disponível,23
119,renda,23
120,objetivo,23
121,dado,23
122,fornecimento,23
123,causa,23
124,parceria,23
125,linha,22
126,ciclo,22
127,amazônia,22
128,espaço,22
129,relacionamento,21
130,passou,21
131,geração,21
132,distribuição,21
133,código,21
134,cada,21
