,palavras,quantidade
0,relatório,119
1,ambiente segurança,95
2,br,93
3,sustentabilidade,91
4,saúde anexo,91
5,pessoas desempenho,88
6,gestão,83
7,meio ambiente,77
8,apresentação pessoas,75
9,inovação,63
10,segurança,51
11,produto,51
12,processo,49
13,sociedade meio,48
14,2019marca,48
15,inovação sociedade,47
16,programa,46
17,negócio,46
18,empresa,45
19,colaboradores,44
20,cliente,44
21,sociedade marca,42
22,sustentabilidade sociedade,42
23,2019meio ambiente,42
24,todo,42
25,saúde,39
26,redução,38
27,serviço,37
28,mercado,37
29,risco,36
30,combustíveis,35
31,trabalho,34
32,posto,32
33,energia,32
34,consumo,32
35,ano,31
36,atividade,30
37,desenvolvimento,30
38,distribuição,28
39,companhia,27
40,iniciativa,27
41,ações,26
42,sistema,24
43,dado,24
44,rede,22
45,política,22
46,acordo,22
47,tema,22
48,plano,22
49,sobre,21
50,desempenho,21
51,abordagem,20
52,projeto,20
53,gases,20
54,relacionamento,20
55,emissões,20
56,administração,19
57,avaliação,18
58,governança,18
59,efeito estufa,18
60,janeiro,18
61,partir,17
62,relação,17
63,área,17
64,ética,17
65,impacto,17
66,unidade,17
67,transporte,17
68,parceria,16
69,dia,16
70,setor,16
71,conselho,16
72,atendimento,16
73,forma,16
74,uso,16
75,sms,16
76,conformidade,15
77,comitê,15
78,estratégia,15
79,operações,15
80,sede,15
81,fornecedores,14
82,país,14
83,toda,14
84,qualidade,14
85,água,14
86,marca,14
87,além,14
88,evento,13
89,gri standard,13
90,direitos humanos,13
91,œ,13
92,desde,13
93,organização,13
94,prevenção,13
95,combustível,13
96,fonte,13
97,público,12
98,fábrica,12
99,mobilidade,12
100,revendedores,12
101,asseguração,12
102,cadeia,12
103,conjunto,12
104,outra,12
105,diesel,12
106,diretoria executiva,12
107,conveniência,12
108,limite,12
109,resultado,12
110,foco,12
111,canal,12
112,corrupção,12
113,campanha,11
114,integridade,11
115,participação,11
116,controle,11
117,consumidores,11
118,modelo,11
119,mudança,11
120,ano base,11
121,gás natural,11
122,indicadores,11
123,revisão,11
124,criação,11
125,diretor,10
126,cerca,10
127,mil m³,10
128,região,10
129,conduta,10
130,segmento,10
131,além disso,10
132,responsabilidade social,10
133,tópico material,10
134,outro,10
135,acidente,10
136,melhoria,10
137,relacionada,9
138,realizada,9
139,treinamento,9
140,maior,9
141,governança corporativa,9
142,realizamos,9
143,diretor executivo,9
144,capacidade,9
145,força,9
146,custo,9
147,logística,9
148,tratamento,9
149,órgão,9
150,nova,9
151,monitoramento,9
152,taxa,9
153,relacionados,9
154,transformação organizacional,9
155,rio,9
156,transformação digital,9
157,componentes,9
158,parte,9
159,objetivo,9
160,sociais,9
161,realizado,8
162,organizações,8
163,durante,8
164,inovação gri,8
165,br mania,8
166,aviação,8
167,prêmio,8
168,estado,8
169,stakeholder,8
170,acionista,8
171,combate,8
172,gerenciamento,8
173,asfalto,8
174,evolução,8
175,gênero,8
176,gestão explicação,8
177,standard divulgação,8
178,divulgação página,8
179,página url,8
180,url omissão,8
181,ainda,8
182,cada,8
183,atuação,8
184,fraude,8
185,explicação sobre,8
186,guia,8
187,economia,8
188,principais,8
189,denúncia,8
190,comunidade,8
191,venda,8
192,passou,8
193,agenda,8
194,incluindo,7
195,cálculo,7
196,resíduos,7
197,índice,7
198,valor,7
199,número,7
200,alto órgão,7
201,através,7
202,vida,7
203,gri abordagem,7
204,transparência,7
205,energia elétrica,7
206,follow,7
207,informações,7
208,produção,7
209,parceiro,7
210,gasolina,7
211,alinhamento,7
212,volume,7
213,emergência,7
214,contexto,7
215,fórum,7
216,energias renováveis,7
217,co equivalente,7
218,devido,7
