,palavras,quantidade
0,cliente,93
1,ł,73
2,risco,68
3,página,67
4,colaboradores,63
5,sobre,61
6,gestão,57
7,negócio,55
8,meio,54
9,programa,52
10,trabalho,51
11,serviço,51
12,empresa,49
13,produto,44
14,fornecedores,42
15,política,40
16,pessoa,35
17,relação,35
18,ano,35
19,objetivo,34
20,atendimento,33
21,indicadores,33
22,ações,33
23,projeto,32
24,todo,31
25,sustentabilidade,31
26,abordagem,31
27,financeira,30
28,conselho,30
29,tema,29
30,além,29
31,segurança,28
32,administração,27
33,crédito,27
34,dado,26
35,relacionamento,26
36,informações,26
37,financiamento,26
38,área,26
39,caderno,25
40,comitê,25
41,análise,24
42,mil,24
43,consumo,23
44,diversidade,23
45,tópico material,22
46,norma,22
47,prática,22
48,investimento,22
49,operações,22
50,saiba,21
51,desenvolvimento,21
52,oportunidades,21
53,iniciativa,21
54,acordo,21
55,forma,21
56,cultura,21
57,website,20
58,interno,20
59,prevenção,20
60,processo,19
61,uso,19
62,impacto,19
63,diretrizes,19
64,recurso,19
65,desde,19
66,sociedade,19
67,linha,18
68,melhor,18
69,œ,18
70,resíduo,18
71,agência,18
72,informação,18
73,vida,17
74,membro,17
75,outro,17
76,atuação,17
77,relatório,17
78,organização,17
79,paulo,17
80,governança,17
81,taxa,16
82,milhões,16
83,toda,16
84,social,16
85,sociais,16
86,procedimentos,16
87,profissionais,16
88,atividade,16
89,novo,16
90,treinamento,16
91,ambientais,16
92,número,16
93,oferta,15
94,participação,15
95,dia,15
96,conduta,15
97,resultado,15
98,energias renováveis,15
99,caso,15
100,água,15
101,realizada,15
102,soluções,15
103,avaliação,15
104,explicação sobre,14
105,desempenho,14
106,cada,14
107,realizamos,14
108,experiência,14
109,mercado,14
110,grande,14
111,curso,14
112,energia,14
113,responsável,14
114,gri abordagem,14
115,evolução,14
116,principais,14
117,exemplo,14
118,pode,14
119,gestão explicação,14
120,controle,14
121,meta,13
122,emissões,13
123,prospera,13
124,conta,13
125,acesso,13
126,inclui,13
127,conteúdo,13
128,relacionada,13
129,corretora,13
130,valor,13
131,bolsa,13
132,código,13
133,global,13
134,universidade,13
135,estratégia,13
136,base,13
137,financeiro,13
138,realizado,13
139,parte,13
140,acionistas,12
141,onde,12
142,educação,12
143,crescimento,12
144,deste,12
145,outra,12
146,cerca,12
147,gênero,12
148,período,12
149,país,12
150,necessidade,12
151,órgão,12
152,ods,12
153,divulgação,12
154,valores mobiliários,12
155,responsabilidade,12
156,ambiente,12
157,gestão página,12
158,limites página,12
159,sistema,12
160,componentes página,12
161,centro,12
162,segmento,12
163,compromisso,12
164,prédios administrativos,11
165,demonstrações financeiras,11
166,incluindo,11
167,nova,11
168,socioambientais,11
169,além disso,11
170,gri standard,11
171,apoio,11
172,unidades,11
173,considerando,11
174,corrupção,11
175,mudanças,11
176,orientação,11
177,redução,11
178,energia renovável,11
179,online,11
180,3gri,11
181,princípio,11
182,tópico,11
183,engajamento,11
184,sociedade gri,11
185,aspectos,10
186,maior,10
187,relacionado,10
188,agronegócio sustentável,10
189,limite,10
190,estudo,10
191,campanha,10
192,contratação,10
193,serviços financeiros,10
194,foco,10
195,presente,10
196,saúde,10
197,canais,10
198,lei,10
199,sempre,10
200,estratégico,10
201,presidente,10
202,apoiar,10
203,setores,10
204,sustentável,10
205,risco socioambiental,10
206,executivo,10
207,emprego,10
208,corporativa,10
209,ação,10
210,público,10
211,rede,10
212,compliance,10
213,podem,10
214,mulheres,10
215,específico,10
216,anual,10
217,ética,9
218,contínua,9
219,econômica,9
220,materialidade,9
221,formulário,9
222,capital,9
223,carteira,9
224,critérios,9
225,coligadas,9
226,externo clientes,9
227,sendo,9
228,ativo,9
229,stakeholders,9
230,liderança,9
231,elaboração,9
232,asseguração limitada,9
233,deficiência,9
234,partir,9
235,fraude,9
236,pagamento,9
237,renda,9
238,nacional,9
239,edifício,9
240,cumprimento,9
241,evento,9
242,ferramenta,9
243,aumento,9
244,profissional,9
245,promovemos,9
246,relevante,9
247,quanto,9
248,tecnologia,9
249,ocorrência,9
250,ainda,9
251,microfinanças,9
252,modelo,9
253,direito,9
254,primeiro,9
255,longo,9
256,considera,9
257,plataforma,8
258,relações,8
259,permite,8
260,bilhões,8
261,cultural,8
262,socioambiental,8
263,qualidade,8
264,companhia,8
265,seguros investimento,8
266,conjunto,8
267,ambiental,8
268,inclusão,8
269,disponível,8
270,tempo,8
271,academia,8
272,asseguração,8
273,geral,8
274,bem,8
275,mundo,8
276,física,8
277,assim,8
278,garantir,8
279,valores,8
280,seguintes,8
281,governança corporativa,8
282,necessário,8
283,criança,8
284,acidente,8
285,considerado,8
286,questões,8
287,contamos,8
288,busca,8
289,escravo,8
290,dessa,8
291,regras,8
292,mobilidade,8
293,plano,8
294,estrutura,8
295,própria,8
296,comunicação,7
297,educação financeira,7
298,anticorrupção,7
299,títulos,7
300,licença,7
301,pi,7
302,sede,7
303,gestão interna,7
304,prsa,7
305,média,7
306,econômico,7
307,responsabilidade socioambiental,7
308,após,7
309,próprio,7
310,ano anterior,7
311,apenas,7
312,diversos,7
313,matriz,7
314,gestão ambiental,7
315,promover,7
316,boas práticas,7
317,parceiro,7
318,desse,7
319,desenvolvemos,7
320,proteção,7
321,específica,7
322,três,7
323,compra,7
324,conselho fiscal,7
325,conhecimento,7
326,interesses,7
327,decisões,7
328,possam,7
329,bancos,7
330,horas,7
331,queremos,7
332,eficiente,7
333,equipe,7
334,remuneração,7
335,auditoria,7
336,oferecer,7
337,cargo,7
338,devem,7
339,horário,7
340,rio,7
341,atender,7
342,parceria,7
343,meio ambiente,7
344,papel,7
345,cyber security,7
346,nesta,7
347,transformação,7
348,avaliado,7
349,tributária,7
350,digitais,7
351,fiscais,7
352,disponibilizamos,7
353,tipo,7
354,informações sobre,7
355,benefício,7
356,economia,7
357,terceiro,7
358,geração digital,7
359,assessoria,7
360,geração,7
361,empreendedores,7
362,farol,7
363,gerenciamento,7
364,melhorar,6
365,divulgação comentários,6
366,estar,6
367,project finance,6
368,acima,6
369,conduta ética,6
370,clientes acionistas,6
371,infraestrutura,6
372,acessibilidade,6
373,venda,6
374,lançamos,6
375,longo prazo,6
376,comentários página,6
377,administrativo,6
378,doações,6
379,colaboradores externo,6
380,qualquer,6
381,carreira,6
382,seguro,6
383,abaixo,6
384,capacitação,6
385,condições,6
386,empreendedorismo,6
387,perfil,6
388,dezembro,6
389,operacionais,6
390,cvm contribuição,6
391,respeito,6
392,referência cvm,6
393,via,6
394,página link,6
395,direta,6
396,eólica,6
397,cadeia,6
398,comparação,6
399,quatro,6
400,contribuir,6
401,entidade,6
402,atuamos,6
403,recuperação,6
404,auxílio,6
405,prêmio,6
406,estimular,6
407,legislação,6
408,externo,6
409,desembolso,6
410,estímulo,6
411,fonte,6
412,reconhecido,6
413,contribuição,6
414,tomada,6
415,vulnerabilidade,6
416,digital,6
417,trabalhamos,6
418,aplicáveis,6
419,trabalho infantil,6
420,sustentabilidade constantes,6
421,climática,6
422,população,6
423,informações constantes,6
424,escopo,6
425,tributos,6
426,neste,6
427,assessoramento,6
428,quais,6
429,fiscal,6
430,central,6
431,solar,6
432,retenção,5
433,devido,5
434,certificação,5
435,localidades,5
436,contrato,5
437,câmbio,5
438,paternidade,5
439,graduação,5
440,dinheiro,5
441,referente,5
442,aborda,5
443,retorno,5
444,mitigar,5
445,opinião,5
446,portfólio,5
447,orientações,5
448,trabalhar,5
449,realização,5
450,jurídica,5
451,consumidor,5
452,contempla,5
453,operação,5
454,visita,5
455,melhoria,5
456,início,5
457,regulamentações,5
458,regiões,5
459,demais,5
460,legais,5
461,independentemente,5
462,diretoria,5
463,selo,5
464,semana,5
465,inovação,5
466,abrimos,5
467,cartão,5
468,monitoramento,5
469,categoria,5
470,setor,5
471,tratamento,5
472,executiva,5
473,espaço,5
474,locais,5
475,cláusula,5
476,comercialização,5
477,contam,5
478,janeiro,5
479,participamos,5
480,composto,5
481,ouvidoria,5
482,construção,5
483,combate,5
484,junto,5
485,superdigital,5
486,agro,5
487,comunidade,5
488,destinado,5
489,brasileiro,5
490,jornada,5
491,garantia,5
492,estagiários,5
493,portanto,5
494,work,5
495,aprovada,5
496,febraban,5
497,apresentação,5
498,ponto,5
499,dentro,5
500,estabelece,5
501,comportamento,5
502,especializada,5
503,itens,5
504,inclusive,5
505,diferente,5
506,ranking,5
507,formação,5
508,adolescente,5
509,jovens,5
510,situação,5
511,cpd,5
512,aplicação,5
513,negros,5
514,presença,5
515,identificação,5
516,utilizado,5
517,transparência,5
518,último,5
519,exame,5
520,bolsistas,5
521,índice,5
522,volume,5
523,conteúdo gri,5
524,aproximadamente,5
525,melhores práticas,5
526,página 6gri,5
527,atacado,5
528,superior,5
529,documento,5
530,relato,5
531,contribuímos,5
532,dias perdidos,5
533,humano,5
534,brasileira,5
535,eficiência,5
536,administração comitê,5
537,interna responsável,5
538,transações,5
539,canal aberto,5
540,tanto,5
541,totais,5
542,verdes,5
543,segundo,5
544,negócios socioambientais,5
545,initiative gri,5
546,reporting initiative,5
547,global reporting,5
548,identificar,5
549,ajudar,5
550,pesquisa,5
551,internacional,5
552,metodologia,5
553,canal,5
554,equidade,5
555,investidores,5
556,filhos,4
557,cidade,4
558,seguem,4
559,alinhada,4
560,finanças,4
561,constante,4
562,rotatividade,4
563,esfera fidelidade,4
564,ben benefícios,4
565,acreditamos,4
566,holding imobiliária,4
567,onutema,4
568,análogo,4
569,prédios,4
570,funcionário,4
571,ciclo,4
572,consumidores,4
573,credito financiamento,4
574,incentivo,4
575,contato,4
576,maneira,4
577,lavagem,4
578,atendidos,4
579,sac,4
580,método,4
581,amigo,4
582,obter,4
583,compilação,4
584,doenças,4
585,doenças ocupacionais,4
586,natureza,4
587,selecionados,4
588,novas contratações,4
589,capitais,4
590,médio,4
591,correlação,4
592,gerado,4
593,gastos,4
594,porto alegre,4
595,great place,4
596,aplicativo,4
597,exposição,4
598,estágio,4
599,participações,4
600,manifestações,4
601,aymoré credito,4
602,licença maternidade,4
603,recursos ambientais,4
604,dentre outros,4
605,referência,4
606,agronegócio,4
607,mil participações,4
608,canais digitais,4
609,gerais,4
610,legislação vigente,4
611,comerciais,4
612,relativas,4
613,nº,4
614,materiais,4
615,críticos,4
616,entendimento,4
617,con ito,4
618,elegíveis,4
619,gerar,4
620,aymoré crédito,4
621,conclusão,4
622,gestores,4
623,jovem,4
624,empresas núcleo,4
625,pessoa jurídica,4
626,lgpd,4
627,composição,4
628,baixo carbono,4
629,cdc,4
630,corporativo,4
631,futuro,4
632,funcionários efetivos,4
633,apenas funcionários,4
634,conheça,4
635,gerencial diretoria,4
636,especialista gerencial,4
637,administrativo especialista,4
638,adicionalmente,4
639,seleção,4
640,cenário,4
641,obrigações,4
642,estabelecidas,4
643,standards board,4
644,dentre,4
645,assuntos,4
646,satisfação,4
647,atua,4
648,durante,4
649,encontro,4
650,mitigação,4
651,pessoais,4
652,data,4
653,independente,4
654,abrangente,4
655,local,4
656,internacionais,4
657,potenciais,4
658,justo,4
659,vão,4
660,representa,4
661,tais,4
662,evitar,4
663,rio branco,4
664,compostagem,4
665,reputacional,4
666,medida,4
667,fala,4
668,reciclagem,4
669,possuem,4
670,registro,4
671,empreendimento,4
672,avaliações,4
673,faz,4
674,definição,4
675,clima,4
676,patrocínio,4
677,melhores,4
678,potencial,4
679,integrada,4
680,desafio,4
681,gerações,4
682,talentos,4
683,trabalho forçado,4
684,pessoal,4
685,idoso,4
686,bacen,4
687,relevância,4
688,risco significativo,4
689,fornecedores identificados,4
690,link correlação,4
691,inclusiva,4
692,diálogo,4
693,avançar,4
694,pmes,4
695,pequenas,4
696,estratégica,4
697,material itens,4
698,sob,4
699,histórico,4
700,adequação,4
701,sede radar,4
702,energia elétrica,4
703,livre,4
704,embargo,4
705,doação,4
706,entrega,4
707,líderes,4
708,indústria,4
709,defesa,4
710,rurais,4
711,transition bond,4
712,agenda,4
713,prosperidade,4
714,consequentemente,4
715,processamento,4
716,adoção,4
717,interior,4
718,abertura,4
719,fale,4
720,gj,4
721,time,4
722,território,4
723,interna,4
724,br,4
725,lucro líquido,3
726,econômicos indiretos,3
727,consolida,3
728,escola,3
729,ativa,3
730,segurança cibernética,3
731,incluem,3
732,conforme,3
733,institucionais,3
734,tributos devido,3
735,b103 abordagem,3
736,desenvolver,3
737,passou,3
738,possíveis,3
739,estimulamos,3
740,remuneração variável,3
741,restrições,3
742,obrigatório,3
743,internet banking,3
744,contábeis,3
745,causar,3
746,cálculo,3
747,fim,3
748,tecnológica,3
749,return capital,3
750,técnica,3
751,ano consecutivo,3
752,conservação,3
753,programa desplastifique,3
754,motivo,3
755,completa,3
756,planejamento,3
757,realizar,3
758,autorizado,3
759,dúvida,3
760,cumprir,3
761,respeitar,3
762,adequado,3
763,nível,3
764,salvar,3
765,desenvolvida,3
766,investimos,3
767,center,3
768,aula,3
769,atual serviços,3
770,continuidade,3
771,razoável,3
772,intranet,3
773,conscientização,3
774,globais,3
775,possui,3
776,radar geração,3
777,adequada,3
778,feminino masculino,3
779,divulgações gerais,3
780,aplicada,3
781,distorções relevantes,3
782,auditores independentes,3
783,ir devido,3
784,vagas,3
785,obrigações tributárias,3
786,campo,3
787,agricultura,3
788,especializado,3
789,localização,3
790,levar,3
791,vacinação,3
792,direto,3
793,inauguramos,3
794,elétrica,3
795,leilões,3
796,loja,3
797,produtores,3
798,negociação,3
799,imóveis,3
800,determinado,3
801,aquisição,3
802,soja,3
803,voltada,3
804,conseguimos,3
805,especial,3
806,chuva,3
807,alertas,3
808,esforço,3
809,saída,3
810,buscamos,3
811,criamos,3
812,combustíveis,3
813,café,3
814,componentes,3
815,indiretas,3
816,publicado,3
817,beneficiando,3
818,alta,3
819,impulsionar,3
820,incentivamos,3
821,integral,3
822,mantemos,3
823,colaborador,3
824,protagonismo,3
825,alunos,3
826,ensino,3
827,amostragem,3
828,capacidade,3
829,consideram,3
830,possibilita,3
831,oferecemos,3
832,entrevistados,3
833,celular,3
834,cpf,3
835,visa,3
836,alguns,3
837,desembolsamos,3
838,inauguração,3
839,ponta,3
840,teatro,3
841,incentivado,3
842,transporte,3
843,guia,3
844,crédito imobiliário,3
845,instituição financeira,3
846,encerramos,3
847,ativamente,3
848,edição,3
849,familiar,3
850,nps,3
851,cancelamentos,3
852,participantes,3
853,líder,3
854,accounting standards,3
855,board sasb,3
856,leve,3
857,deve,3
858,servir,3
859,emitido,3
860,possível,3
861,green transition,3
862,alguma,3
863,green bonds,3
864,rci,3
865,recebem,3
866,princípios éticos,3
867,sexual,3
868,órgãos reguladores,3
869,traz,3
870,homologação,3
871,requisitos,3
872,lugar,3
873,características,3
874,dois,3
875,g4,3
876,nbc,3
877,aprendizagem,3
878,recebeu,3
879,qualitativas,3
880,premissa,3
881,emitir,3
882,quarteirão,3
883,identificado,3
884,significativas,3
885,inerente,3
886,lista,3
887,reclamações,3
888,coletiva,3
889,conosco,3
890,estado,3
891,adotada,3
892,solução,3
893,conceito,3
894,consulta,3
895,6tópico,3
896,bancários,3
897,exigência,3
898,exceto,3
899,gee,3
900,3item,3
901,healthy,3
902,deficiência auditiva,3
903,anualmente,3
904,modo,3
905,eventuais,3
906,assumimos,3
907,presencial,3
908,somente,3
909,contra,3
910,desta,3
911,final,3
912,plástico,3
913,único,3
914,pós,3
915,padrões,3
916,corporate,3
917,concorrência,3
918,diagnóstico,3
919,acompanhamento,3
920,denúncia,3
921,frente,3
922,integridade,3
923,disponíveis,3
924,realizou,3
925,nesse,3
926,associações,3
927,proporcionar,3
928,natural,3
929,telefone,3
930,apoia,3
931,consolidadas,3
932,hoje,3
933,responsáveis,3
934,crescer,3
935,renovável,3
936,fundamentais,3
937,viabilizamos,3
938,prazo,3
939,estruturação,3
940,indiretamente,3
941,calculada,3
942,caráter,3
943,importância,3
944,associados,3
945,fazemos,3
946,incentivar,3
947,execução,3
948,intelectual,3
949,normativo,3
950,percentual,3
951,promovendo,3
952,meritocracia,3
953,feminina,3
954,equilíbrio,3
955,realizaram,3
956,vigente,3
957,menos,3
958,prestação,3
959,portal,3
960,propósito,3
961,reuniões,3
962,rial,3
963,agente,3
964,frequência,3
965,permitir,3
966,conferida,3
967,construir,3
968,contribuindo,3
969,eleitos,3
970,efetivos,3
971,principal,3
972,municipais,3
973,revista,3
974,habilidades,3
975,identificadas,3
976,externa,3
977,poderá,3
978,anuais,3
979,engajar,3
980,assegurar,3
981,aprimorar,3
982,sangue,3
983,nacionais,3
984,participaram,3
985,legal,3
986,perspectiva,3
987,inovações,3
988,avaliar,3
989,promoção,3
990,administrativa,3
991,saudável,3
992,onu,3
993,segue,3
994,resolução,3
995,reúne,3
996,resiliente,3
997,criação,3
998,simples pessoal,2
999,úteis,2
1000,níveis,2
1001,ocorreu,2
1002,expansão,2
1003,executado,2
1004,aterros sanitários,2
1005,requerimentos,2
1006,participem,2
1007,indagações,2
1008,gás,2
1009,individuais,2
1010,insumo,2
1011,conexão,2
1012,requerem,2
1013,rotina,2
1014,carta,2
1015,evidência,2
1016,analíticos,2
1017,rodas,2
1018,diárias,2
1019,quantitativas,2
1020,compreenderam,2
1021,utilizar,2
1022,existir,2
1023,grupos,2
1024,demandas,2
1025,procon,2
1026,discriminação,2
1027,apresentam,2
1028,acreditar,2
1029,campinas sp,2
1030,álvares penteado,2
1031,curto,2
1032,abordados,2
1033,aéreo,2
1034,assurance,2
1035,recebimento,2
1036,best,2
1037,management,2
1038,consideramos,2
1039,aprofundamento,2
1040,americana,2
1041,apresentar,2
1042,integração,2
1043,fortune,2
1044,limitada,2
1045,compramos,2
1046,continuada,2
1047,hídrico,2
1048,201720182019operacional,2
1049,web,2
1050,avaliada,2
1051,milhão,2
1052,isenção,2
1053,orestais,2
1054,priorização,2
1055,mobile,2
1056,voluntária,2
1057,isae,2
1058,aderência,2
1059,emitida,2
1060,mudam,2
1061,world,2
1062,aconselhamento,2
